FAERS_drug_match,lookup_value
CETAPHIL [CETYL ALCOHOL;PROPYLENE GLYCOL;SODIUM LAURYL SULFATE;STEARYL,Camellia sinensis
CETAPHIL [CETYL ALCOHOL\PROPYLENE GLYCOL\SODIUM LAURYL SULFATE\STEARYL ALCOHOL],Camellia sinensis
"CETAPHIL [CETYL ALCOHOL,PROPYLENE GLYCOL,STEARYL ALCOHOL]",Camellia sinensis
CETAPHIL [CETYL ALCOHOL;SODIUM LAURYL SULFATE;STEARYL ALCOHOL],Camellia sinensis
"CETAPHIL (PROPYLENE GLYCOL, STEARYL ALCOHOL, CETYL ALCOHOL)",Camellia sinensis
CETAPHIL RESTORADERM CLEANSER (CETYL ALCOHOL;; PROPYLENE GLYCOL; STEAR,Camellia sinensis
CETAPHIL RESTORADERM CLEANSER (CETYL ALCOHOL; PROPYLENE GLYCOL;STEARYL,Camellia sinensis
"CETAPHIL (STEARYL ALCOHOL, PROPYLENE GLYCOL)",Camellia sinensis
CETOMACROGOL 1000 AND CETOSTEARYL ALCOHOL AND DECYL OLEATE AND SORBIC,Camellia sinensis
CETOMACROGOL 1000;CETOSTEARYL ALCOHOL;CHLOROCRESOL;PARAFFIN;PETROLATUM,Camellia sinensis
CETOMACROGOL 1000/CETOSTEARYL ALCOHOL/CHLOROCRESOL/PARAFFIN/PETROLATUM,Camellia sinensis
CETOMACROGOL1000/CETOSTEARYLALCOHOL/CHLOROCRESOL/PARAFFIN/PETROLATUM,Camellia sinensis
CETOMACROGOL 1000/CETOSTEARYL ALCOHOL/METHYLPARABEN E218/PARAFFIN/PROPYLPARABEN E216/WHITE SOFT PARA,Camellia sinensis
CETOMACROGOL 1000 W/CETOSTEARYL ALCOHOL/CHLOR,Camellia sinensis
"CETOMACROGOL [CETOMACROGOL 1000,CETOSTEARYL ALCOHOL]",Camellia sinensis
CETOMACROGOL/CETOSTEARYL ALCOHOL/CHLOROCRESOL/PARAFFIN/PETROLATUM,Camellia sinensis
"CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, WHITE SOFT PARAFF",Camellia sinensis
"CETOMACROGOL;CETOSTEARYL ALCOHOL;PARAFFIN, LIQUID;WHITE SOFT PARAFFIN",Camellia sinensis
"CETOMACROGOL/CETOSTEARYL ALCOHOL/PARAFFIN, LIQUID/WHITE SOFT PARAFFIN",Camellia sinensis
CETOSTEARYL ALCOHOL AND PHENOXYETHANOL AND SODIUM LAURYL SULFATE,Camellia sinensis
CETOSTEARYL ALCOHOL/LANOLIN/VASELINE,Camellia sinensis
CETYL PALMITATE\PARAFFIN\PROPYLENE GLYCOL\SODIUM ALGINATE\STEARYL ALCOHOL\TROLAMINE,Camellia sinensis
CHAMOMILE TEA,Camellia sinensis
CHAMOMILE TEA OCCASIONALLY.,Camellia sinensis
CHATEAL,Camellia sinensis
CHATEAL COC,Camellia sinensis
CHATEAL EQ,Camellia sinensis
CHIA TEA,Camellia sinensis
CHILDREN'S TYLENOL 80 MG PER 1/2 TEASPOON JOHNSON AND JOHNSON,Camellia sinensis
CHILDREN'S TYLENOL 80 MG PER 1/2 TEASPOON MCNEIL,Camellia sinensis
CHILDREN'S TYLENOL 80 MG PER 1/2 TEASPOON MCNEIL- PPC,Camellia sinensis
CHRONE'S DISEASE HERB MEDICINE (A TEA),Camellia sinensis
CINNAMON TEA,Camellia sinensis
CINNAMON WITH HONEY AND TEA COMBINATION,Camellia sinensis
CISTUS TEA,Camellia sinensis
CISTUS TEA - HERVAL TEA,Camellia sinensis
CITRACAL PETITES(COLECALCIFEROL + CALCIUM CITRATE) FILM-COATEA TABLET,Camellia sinensis
CLEANSING TEARS,Camellia sinensis
"COLON CLEANSER NATURAL DETOX FORMULA(ALOE VERA, CITRUS SPP, PEEL, GENTIANA LUTEA ROOT, HYDRASTIS CANADENSIS ROOT, LACTOBACILLUS ACIDOPHILUS, PLANTAGO ASIATICA SEED HUSK, RHAMNUS FRANGULA BARK, RHAMNUS PURSHIANA BARK, TRITICUM AESTIVUM)",Camellia sinensis
"COLON CLEANSER NATURAL DETOX FORMULAT (ALOE VERA, CITRUS SPP. PEEL, GENTIANA LUTEA ROOT, HYDRASTIS CANADENSIS ROOT, LACTOBACILLUS ACIDOPHILUS, PANTAGO ASIATICA SEED HUSK, RHAMNUS FRANGULA BARK, RHAMNUS PURSHIANA BARK, TRITICUM AESTIVUM)",Camellia sinensis
COMPOUND BAICALIN  TEA SUPPOSITORY,Camellia sinensis
COMPOUND HUANGQINLONG TEA PLUG,Camellia sinensis
COMPOUND HUANGQINLONG TEA PLUG (TRADITIONAL CHINESE MEDICINE),Camellia sinensis
COPPERTONE KIDS TEAR FREE LOTION SPF-50,Camellia sinensis
CORNETEARS,Camellia sinensis
CORN SILK TEA,Camellia sinensis
"CREON (ALPHA AMYLASE, AMYLASE, LIPASE, PANCREATIN, PROTEASE)",Camellia sinensis
"CREON [AMYLASE,LIPASE,PANCREATIN,PROTEASE]",Camellia sinensis
CREST PRO-HEALTH CPC ANTI GINGIVITIS / ANTI PLAQU 4 TEASPOONFULLS OF 0,Camellia sinensis
CVS GENTLE TEARS,Camellia sinensis
CYSTAGON (CYSTEAMINE) EYE DROPS,Camellia sinensis
CYSTEAMIN,Camellia sinensis
CYSTEAMINE/00492501/ (MERCAPTURINE),Camellia sinensis
CYSTEAMINE EYE,Camellia sinensis
CYSTEAMINE EYE DROPS,Camellia sinensis
CYSTEAMINE EYE DROPS SIGMA TAU,Camellia sinensis
CYSTEAMINE (MERCAPTAMINE)PER ORAL,Camellia sinensis
CYSTEAMINE (MERCAPTAMNE) EYE DROP,Camellia sinensis
CYSTEAMININE EYE DROPS SIGMA TAU,Camellia sinensis
CYTEAL,Camellia sinensis
"CYTEAL(CHLOROCRESOL, HEXAMIDINE ISETIONATE, CHLORHEXIDINE GLUCONATE)(S",Camellia sinensis
"CYTEAL, FOAMING SOLUTION",Camellia sinensis
"CYTEAL (HEXAMIDINE, CHLORHEXIDINE, CHLOROCRESOL) (CYTEAL /00934001/)",Camellia sinensis
DANDELION ROOT TEA,Camellia sinensis
DANDELION TEA,Camellia sinensis
DICLOTEARS(DICLOFENAC SODIUM),Camellia sinensis
DIGESTIVE ENZYMES [AMYLASE;CELLULASE;LIPASE;MALTASE;PROTEASE;SUCRA,Camellia sinensis
DIGESTIVE ENZYMES [AMYLASE;CELLULASE;LIPASE;MALTASE;PROTEASE;SUCRASE;T,Camellia sinensis
DILTEAZEM,Camellia sinensis
DILTIAZEM ER (DILTEAZEM HYDROCHLORIDE),Camellia sinensis
"DIPROBASE /01132701/ (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, WHITE SOFT PARAFFIN) 05/08/2014 TO 06/05/2014",Camellia sinensis
"DIPROBASE /01132701/ (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, WITHE SOFT PARAFFIN)",Camellia sinensis
"DIPROBASE (CETOMAC/CETOSTEARYL ALCOHOL/PARRAFIN, LIQUID/WHITE SOFT PAR",Camellia sinensis
"DIPROBASE (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, WHITE",Camellia sinensis
"DIPROBASE (CETOMACROGOL/CETOSTEARYL ALCOHOL/PARAFFIN, LIQUID/WHITE SOF",Camellia sinensis
"DIPROBASE [CETOMACROGOL;CETOSTEARYL ALCOHOL;PARAFFIN, LIQUID;WHITE SOF",Camellia sinensis
"DIPROBASE (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, WHITE SOFT PARAFFIN)",Camellia sinensis
"DIPROBASE CREAM (CETOMACROGOL, CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID,",Camellia sinensis
"DIPROBASE CREAM (CETOSTEARYL ACLCOHOL, PARAFFIN, LIQUID, WHITE SOFT PA",Camellia sinensis
"DIPROBASE CREAM (CETOSTEARYL ALCOHOL, PARAFIN, LIQUID, CETOMACROGOL, W",Camellia sinensis
"DIPROBASE CREAM (DIPROBASE) (CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, CETOMACROGOL, WHITE SOFT PARAFFIN)",Camellia sinensis
"DIPROBASE (DIPROBASE /01132701/) (UNKNOWN) (CETOSTEARYL ALCOHOL, PARAFFIN, LIQUID, CETOMACROGOL, WHITE SOFT PARAFFIN)",Camellia sinensis
DISTEAROYLPHOSPHATIDYLGLYCEROL AND VITAMIN E AND AMPHOTERICIN B AND CH,Camellia sinensis
DRAGON FRUIT TEA,Camellia sinensis
DRANJ GINGER TEA,Camellia sinensis
DR ARTIFICIAL TEARS,Camellia sinensis
DR TEAL ULTRA BODY WASH LAVANDER,Camellia sinensis
DRY EYES/BLINK TEARS,Camellia sinensis
DURATEARS,Camellia sinensis
DURA TEARS,Camellia sinensis
DURATEARS                          /00635701/,Camellia sinensis
DURATEARS                          /01103201/,Camellia sinensis
DURATEARS (AKWA TEARSA/01635801/) UNSPECIFIED,Camellia sinensis
DURATEARS (BELGIUM),Camellia sinensis
"DURATEARS (BENZALKONIUM CHLORIDE, EDETATE DISODIUM, HYPROMELLOSE, POTA",Camellia sinensis
DURATEARS [BENZALKONIUM CHLORIDE;EDETATE DISODIUM;HYPROMELLOSE;POTASSI,Camellia sinensis
DURATEARS [DEXTRAN 70;HYPROMELLOSE],Camellia sinensis
DURATEARS (DURATEARS),Camellia sinensis
"DURATEARS (EDETATE DISODIUM, HYPROMELLOSE, POTASSIUM CHLORIDE, SODIUM",Camellia sinensis
DURATEARS EYEDROPS FALCON,Camellia sinensis
DURATEARS EYE OINTMENT,Camellia sinensis
DURATEARS FREE,Camellia sinensis
DURATEARS FREE SINGLE DOSE EYEDROPS,Camellia sinensis
"DURATEARS (LANOLIN (+) MINERAL OIL (+) PETROLATUM, WHITE)",Camellia sinensis
DURATEARS NATURALE OINTMENT,Camellia sinensis
DURATEARS (NETHERLANDS),Camellia sinensis
DURATEARS OINTMENT,Camellia sinensis
DURATEARS OOGDRUPPELS FLACON,Camellia sinensis
DURATEARS OPHTHALMIC OINTMENT)(POLYVIDONE) (EYE OINTMENT) (POLYVIDONE),Camellia sinensis
DURATEARS [PARAFFIN],Camellia sinensis
"DURATEARS (SODIUM CHLORIDE, POTASSIUM CHLORIDE, HYPROMELLOSE, EDETATE",Camellia sinensis
DURATEARS [WOOL FAT],Camellia sinensis
DURATEARS Z,Camellia sinensis
DURATEARS Z EYE OINTMENT TUBE,Camellia sinensis
DURATEARS Z (OOGZALF),Camellia sinensis
E45 (AKWA TEARS /01635801/),Camellia sinensis
"E45 (AKWA TEARS /01635801/) (UNKNOWN) (WOOL FAT, PARAFFIN, LIQUID, WHITE SOFT PARAFFIN)",Camellia sinensis
EARL GRAY TEA,Camellia sinensis
ECHINACEA TEA (ECHINACEA PURPUREA),Camellia sinensis
ECO TEARS,Camellia sinensis
EGYPTIAN LICORICE TEA,Camellia sinensis
ELTEANS,Camellia sinensis
ENERGIZING TEAS,Camellia sinensis
EPHEDRA TEAS,Camellia sinensis
EPHEDRA TEAS (EPHEDRA SPP),Camellia sinensis
EPHEDRA TEAS (EPHEDRA SPP.) (EPHEDRA SPP.),Camellia sinensis
EPSOM SALT BATH WITH APPLE CIDER VINEGAR AND TEA TREE ESSENTIAL OIL AND LEMON ESSENTIAL OIL,Camellia sinensis
EQUATE ARTIFICIAL TEARS,Camellia sinensis
EQUATE ARTIFICIAL TEARS NOS,Camellia sinensis
EQUATE OTC TEARS,Camellia sinensis
EQUATE PRESERVATIVE?FREE ARTIFICIAL TEARS,Camellia sinensis
EQUATE TEARS,Camellia sinensis
EQV ARTIFICIAL TEARS,Camellia sinensis
ERYTHROMYCIN (ERYTHROMYCIN STEARATE) TABLET,Camellia sinensis
ERYTHROMYCINSTEARAT,Camellia sinensis
"ERYTHROMYCIN STEARATE TABLETS, USP",Camellia sinensis
"ESSENTIAL OILS (PATCHOULI, OREGANO, ORGANE, GRAPEFRUIT, BASIL, CINAMON, DILL, FRANKINCENSE, GERANIUM, LEMON, PINE, TEA TREE, THIEVES)",Camellia sinensis
ESSIAC TEA (ARCTIUM/RHUBARB/RUMEX ACETOSELLA/SLIPPERY ELM),Camellia sinensis
"ESSIAC TEA (HERBAL, HOMEOPATHIC, + DIETARY SUPPLEMENTS)",Camellia sinensis
"EUPHYTOSE (CARTEAGUS, PASSION FLOWER, PAULLINIA, KOLA, VALERIAN, BALLO",Camellia sinensis
EVOTEARS,Camellia sinensis
"EXCEDRIN MIGRAINE (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC AICD, ACTEA",Camellia sinensis
"EXCHANGE SELECT ARTIFICIAL TEARS - KC PHARMACEUTICALS, INC",Camellia sinensis
EYE DROPS THERA TEARS,Camellia sinensis
"EYE NUTRITION (THERATEARS),",Camellia sinensis
EYEPROMISE EZ TEARS,Camellia sinensis
EYES-REFRESH TEARS,Camellia sinensis
EYE TEARS,Camellia sinensis
E-Z TEARS,Camellia sinensis
EZ TEARS,Camellia sinensis
FENNAL SEED TEA,Camellia sinensis
FENNEL TEA,Camellia sinensis
FENOFIBRATEA,Camellia sinensis
FEVERFEW TEA,Camellia sinensis
FIELD HORSETAIL TEA,Camellia sinensis
FLUORIDEX SENSITIVITY RELIEF GEN TEAL,Camellia sinensis
FRESHKOTE (TEARS PLUS),Camellia sinensis
FRESH TEARS,Camellia sinensis
FRESH TEARS                        /00007002/,Camellia sinensis
FRESH TEARS /00007002/,Camellia sinensis
FRESH TEARS                        /00880201/,Camellia sinensis
FRESH TEARS [CARMELLOSE SODIUM],Camellia sinensis
FRESH TEARS LIQUIGEL,Camellia sinensis
FRESH TEARS (TEARS PLUS),Camellia sinensis
FRUSEMIDE TEA        (FUROSEMIDE) UNKNOWN,Camellia sinensis
FUTEASONE,Camellia sinensis
GANODERMA TEA,Camellia sinensis
GEL DROP FOR TEARS,Camellia sinensis
GELTEARS,Camellia sinensis
GEL TEARS,Camellia sinensis
GENERIC ARTIFICAL TEARS N/A N/A,Camellia sinensis
GENERIC ATATEAND,Camellia sinensis
GEN TEAL,Camellia sinensis
"GENTEAL (CARBOMER, HYPROMELLOSE) EYE DROPS",Camellia sinensis
GENTEAL [CARMELLOSE SODIUM;HYPROMELLOSE ],Camellia sinensis
GENTEAL [CARMELLOSE SODIUM;HYPROMELLOSE],Camellia sinensis
GEN TEAL DROPS,Camellia sinensis
GENTEAL DROPS FOR DAYTIME,Camellia sinensis
GENTEAL DROPS FOR NIGHTTIME,Camellia sinensis
GENTEAL EXTRA STRENGTH,Camellia sinensis
GENTEAL EYE DROP,Camellia sinensis
GEN TEAL EYEDROPS,Camellia sinensis
GENTEAL  EYE DROPS,Camellia sinensis
GENTEAL EYE DROPS,Camellia sinensis
GENTEAL EYE DROPS MODERATE TO SEVERE GENTEAL,Camellia sinensis
GENTEAL EYE DROPS NOS,Camellia sinensis
GENTEAL EYE DROPS (NOT SPECIFIED),Camellia sinensis
GENTEAL EYE GEL,Camellia sinensis
GENTEAL EYE LUBRICANT,Camellia sinensis
GENTEAL EYE LUBRICANT DROPS,Camellia sinensis
GENTEAL EYE OINTMENT,Camellia sinensis
GENTEAL EYE PRODUCT NOS,Camellia sinensis
GENTEAL GEL SEVERE,Camellia sinensis
GENTEAL[HYPROMELLOSE],Camellia sinensis
GENTEAL LUBRICANT,Camellia sinensis
GENTEAL LUBRICANT EYE,Camellia sinensis
GENTEAL LUBRICANT EYE DROPS,Camellia sinensis
GENTEAL LUBRICANT EYE DROPS (25 ML)   HYPROMELLASE 0.3%,Camellia sinensis
GENTEAL LUBRICANT EYE DROPS (GENTEAL LUBRICANT EYE DROPS),Camellia sinensis
GENTEAL LUBRICANT EYE DROPS (NVO),Camellia sinensis
GEN TEAL LUBRICANT EYE GEL,Camellia sinensis
GENTEAL LUBRICANT EYE GEL,Camellia sinensis
GENTEAL LUBRICANT EYE GEL DROPS,Camellia sinensis
GENTEAL LUBRICANT EYE GEL DRY,Camellia sinensis
GENTEAL LUBRICATING,Camellia sinensis
GENTEAL LUBRICATING EYE GEL,Camellia sinensis
GENTEAL LUBRICATING EYE GEL (NVO),Camellia sinensis
GENTEAL LUBRICATING GEL,Camellia sinensis
GENTEAL MILD (HYPROMELOSE),Camellia sinensis
GENTEAL MILD LUBRICANT EYE DROPS,Camellia sinensis
GENTEAL MILD LUBRICANT EYE DROPS (NVO),Camellia sinensis
GENTEAL MILD TO MO,Camellia sinensis
GENTEAL MILD TO MODERA,Camellia sinensis
GENTEAL MODERATE LUBRICANT EYE DROPS,Camellia sinensis
GENTEAL MODERATE LUBRICANT EYE DROPS (NVO),Camellia sinensis
GENTEAL MODERATE TO SEVERE EYE GEL,Camellia sinensis
GENTEAL NIGHTTIME LUBRICANT EYE DROPS,Camellia sinensis
GENTEAL NIGHT?TIME PM,Camellia sinensis
GENTEAL OPHT DROP,Camellia sinensis
GENTEAL PF  (NVO),Camellia sinensis
GEN TEAL PM,Camellia sinensis
GENTEAL PM LUBRICANT EYE OINTMENT,Camellia sinensis
"GENTEAL SEVERE DRY EYE RELIEF GEL, 10 ML TABS",Camellia sinensis
GENTEAL SEVERE EYE RELIEF LUBRICANT GEL,Camellia sinensis
GENTEAL SEVERE LUBRICANT EYE GEL,Camellia sinensis
GENTEAL TEAR SOL MODERATE,Camellia sinensis
GENTIANA LUTEA,Camellia sinensis
GENTIANA LUTEA AND ACHILLEA MILLEFOLIUM AND CNICUS BENEDICTUS AND ARTE,Camellia sinensis
GENTIANA LUTEA ROOT,Camellia sinensis
GENTIANA LUTEA TINCTURE,Camellia sinensis
GENTIAN [GENTIANA LUTEA],Camellia sinensis
GENTLE TEARS,Camellia sinensis
GETEAL GEL,Camellia sinensis
GET REGULAR TEA,Camellia sinensis
GETTEARS,Camellia sinensis
GINGER AID TEA,Camellia sinensis
GINGER TEA,Camellia sinensis
GINKGO TEA,Camellia sinensis
"GINO-TARDYFERON (ASCORBIC ACID, FERROUS SULFATE, FOLIC ACID, PROTEASE)",Camellia sinensis
GINSENG TEA,Camellia sinensis
GINSENG TEA SUPPLEMENT,Camellia sinensis
"GLAXAL BASE (CETOMACROGOL 1000, CETOSTEARYL ALCOHOL, CHLOROCRESOL, PAR",Camellia sinensis
GLUTEAL,Camellia sinensis
"GLYCERIN SUPPOSITORIES (GLYCEROL, SODIUM STEARATE)",Camellia sinensis
"GLYCEROL;GLYCERYL MONOSTEARATE;PARAFFIN, LIQUID;SIMETICONE;WOOL ALCOHO",Camellia sinensis
GLYCOPYRROLATEATE BROMIDE INDACETEROL MALEATE,Camellia sinensis
GNP ARTIFICIAL TEARS,Camellia sinensis
"^GOOD HERBS ORIGINAL^ TEA - ROOBOIS, ROSEHIPS, CHAMOMILE, CINNAMON, LE",Camellia sinensis
GOODSENSE ARTIFICIAL TEARS,Camellia sinensis
GS 9256 (NS3 PROTEASE INHIBITOR),Camellia sinensis
GS 9451 (NS3 PROTEASE INHIBITOR),Camellia sinensis
GUAVA LEAF TEA,Camellia sinensis
GUAVA TEA,Camellia sinensis
GYMNEMA HERBAL TEA,Camellia sinensis
GYMNEMA TEA,Camellia sinensis
"GYNO-TARDYFERON (ASCORBIC ACID, FERROUS SULFATE, FOLIC ACID, PROTEASE)",Camellia sinensis
GYNO-TARDYFERON (ASCORBIC ACID/FERROUS SULFATE/FOLIC ACID/PROTEASE),Camellia sinensis
"GYNO-TARDYFERON (ASCORBIC ACID, FERROUS SULFATE, FOLIC ACID, PROTEASE) FILM-COATED TABLET",Camellia sinensis
"GYNO-TARDYFERON (ASCRORBIC ACID, FERROUS SULFATE, FOLIC ACID, PROTEASE)",Camellia sinensis
HABISCUS TEA WITH MINT + LEMON GRASS,Camellia sinensis
HAWTHORN LEAF AND FLOWER TEA,Camellia sinensis
HERBAL INSANITY THE PERFECT TEA FOR THE TERRIBLE PAIN AND STRESS,Camellia sinensis
HERBAL MEDS AND TEAS,Camellia sinensis
HERBAL TEA/ 5 HOUR ENERGY DRINK,Camellia sinensis
HERBAL TEA-CHAMOMILE,Camellia sinensis
HERBAL TEA PREPARATION,Camellia sinensis
HERBAL TEAS,Camellia sinensis
HERBAL TEA SMOOTH,Camellia sinensis
HERBAL TEAS OTC,Camellia sinensis
HERBAL TEAS WITH GINGER,Camellia sinensis
HERBAL TEA WITH ALTHAEA OFFICINALIS EXTRACT,Camellia sinensis
HERBAL TEA WITH ROSE HIPS,Camellia sinensis
HERB + TEA,Camellia sinensis
HIBISCUS FLOWER TEA,Camellia sinensis
HIBISCUS TEA,Camellia sinensis
HJERTEALBY,Camellia sinensis
HJERTEALBYL,Camellia sinensis
HOLY BASIL HERBAL TEAS,Camellia sinensis
HOMEMADE TEA OF MINT LEAVES,Camellia sinensis
HOMEOPAHTIC TEAS: SAGE + JUNAPER BERRIES,Camellia sinensis
HONEY LEMONS TEA,Camellia sinensis
HOODIA SLIMMING TEA,Camellia sinensis
"HP ERGO, TEAL/CLEAR (HUMAN ERGO, TEAL/CLEAR) PEN, REUSABLE",Camellia sinensis
"HP ERGO, TEAL/CLEAR (HUMAPEN ERGO, TEAL/CLEAR) PEN, REUSABLE",Camellia sinensis
HYDROCODON-ACTEAMINOPHEN,Camellia sinensis
HYDROCODONE-ACTEAMINOPHEN,Camellia sinensis
HYDRO [PROTEASE],Camellia sinensis
HYDROTEARS OT EYE DROPS,Camellia sinensis
HYLO TEAR,Camellia sinensis
HYLO-TEAR,Camellia sinensis
HYLO?TEAR,Camellia sinensis
HYLO TEAR (HYALURONATE SODIUM),Camellia sinensis
HYLOTEARS,Camellia sinensis
HYLOTEARS 0.1 %,Camellia sinensis
HYPERICIN (HERBAL TEA),Camellia sinensis
"HYPOTEARS (BENZALKONIUM CHLORIDE, EDETATE DISODIUM, MACROGOL, POLYVINY",Camellia sinensis
HYPOTEARS PF,Camellia sinensis
HYPOTEARS                               /SCH/,Camellia sinensis
HYPROMELLOSE-GLYCERIN-EYE DROP TEARS,Camellia sinensis
IMMUNOCAL HERBAL TEAS,Camellia sinensis
IRINOTECAN (IRINOTEAN HYDROCHLORIDE) (INTAVENOUS INFUSION) (IRINOTECAN,Camellia sinensis
ISOPTO TEAR DROPS,Camellia sinensis
ISOPTO TEARS                       /00445101/,Camellia sinensis
ISOPTO TEARS /00445101/,Camellia sinensis
ISOPTO TEARS                       /01727601/,Camellia sinensis
ISOPTO-TEARS ALCON,Camellia sinensis
ISOPTO TEARS [HYPROMELLOSE],Camellia sinensis
ISOPTO TEARS [HYPROMELLOSE;SODIUM CHLORIDE],Camellia sinensis
ISOPTO TEARS (ISOPTO TEARS),Camellia sinensis
ISOPTO TEARS (ISOPTO TEARS) (DROPS),Camellia sinensis
JASMINE TAO TEA,Camellia sinensis
JOBS TEARS,Camellia sinensis
"JUICE PLUS (AMYLASE, ASCORBIC ACID, CELLULASE, FOLIC ACID, LIPASE, PROTEASE)",Camellia sinensis
"JUICE PLUS (ASCORBIC ACID, FOLIC ACID, LIPASE, AMYLASE, PROTEASE, CELL",Camellia sinensis
"JUSAN (SODIUM BICARBONATE, DIASTASE, GENTIANA LUTEA ROOT)",Camellia sinensis
JUVENON NETTLE HERBAL TEA,Camellia sinensis
"KALMS (ASAFEIDE, FERUL ASSAFOETIDA, GENTIAN, GENTIANA LUTEA ROOT, HUMU",Camellia sinensis
"KALMS (ASAFETIDA, FERULA ASSAFOETIDA, GENTIAN, GENTIANA LUTEA ROOT, HU",Camellia sinensis
"KALMS(ASAFETIDA, FERULA ASSAFOETIDA, GENTIAN, GENTIANA LUTEA ROOT, HUM",Camellia sinensis
KALMS [FERULA ASSA-FOETIDA;GENTIANA LUTEA ROOT;HUMULUS LUPULUS;VALERIA,Camellia sinensis
"KALMS (FERULA ASSAFOETIDA,GENTIANA LUTEA ROOT, HUMULUS LUPULUS, VALERIANA OFFICINALIS EXTRACT)",Camellia sinensis
KATADOLON (FLUPRIRTINE MATEATE),Camellia sinensis
"KOLOREX TEA ( HOROWITZ, ANISE, PEPPERMINT)",Camellia sinensis
KOREAN GINSING TEA,Camellia sinensis
LACRIMA PLUS (TEARS NATURALE II),Camellia sinensis
LACTEATED RINGERS,Camellia sinensis
LATANOTEARS,Camellia sinensis
LAVENDER TEA,Camellia sinensis
LEMON BALM AND CHAMOMILE TEA,Camellia sinensis
LEMON GINGER TEA,Camellia sinensis
LEMON TEA,Camellia sinensis
LEMON ZINGLER TEA,Camellia sinensis
LEVEITIRACTEA,Camellia sinensis
LEVETIRACTEAM,Camellia sinensis
LEVETRACTEA,Camellia sinensis
LICORICE TEA,Camellia sinensis
LIDOCAINE 2% ONE TEASPOON MIXED WITH MIRALAX TO MAKE A GI COCKTAIL,Camellia sinensis
"LIPASE 19,000 U PROTEASE",Camellia sinensis
LIPASE 25000USP;AMYLASE 136000 USP;PROTEASE 85000 USP,Camellia sinensis
LIPASE PROTEASE,Camellia sinensis
LIPASE-PROTEASE,Camellia sinensis
LIPASE-PROTEASE-AMYLASE,Camellia sinensis
LIPASE-PROTEASE-AMYLASE -PANCREASE MT 16-,Camellia sinensis
LIPOSOMAL STEALTH DOXORUBICIN HYDROCHLORIDE,Camellia sinensis
LIPOTEARS,Camellia sinensis
LIQUID TEARS/GELS OVER-THE-COUNTER,Camellia sinensis
LIQUID TEARS OPHT,Camellia sinensis
"LIQUID TEARS (ORCIPRENALINE SULFATE, DOXYLAMINE SUCCINATE)",Camellia sinensis
"LIQUIFILM TEARS       (CHLOROBUTANOL , POLYVINYL ALCOHOL)",Camellia sinensis
LIQUIFILM TEARS OCULAR LUBRICANT,Camellia sinensis
LIQUIFILM TEAR SOLUTION,Camellia sinensis
LIQUIFILM TEARS PRES FREE,Camellia sinensis
LIQUIFIL TEARS 1.4%,Camellia sinensis
LIQUI TEARS,Camellia sinensis
LIQUI-TEARS,Camellia sinensis
LIQUI TEARS BAUSCH + LOMB,Camellia sinensis
LIQUITEARS LUBRICANT EYE DROPS,Camellia sinensis
LIQUITEARS MAJOR PHARMACEUTICALS,Camellia sinensis
LIVER DETOX TEA,Camellia sinensis
LOHIST-D (LARKEN LAB ORGRX) ONE TEASPOONFUL EVERY 4 TO 6 HRS,Camellia sinensis
LOOSE LEAF TEA (YERBA MATE) W/DANDELION ROOT+TUMERIC+CINNAMON+OREGAN+THYME,Camellia sinensis
LOSEPINE (LACOTSE MONOHYDRATE/MAGNESIUM STEARATE/MICROCRYSTALLINE CELLUOSE/RED IRON OX),Camellia sinensis
"LOWER LEG BOOT FOR ACHILLES TEAR, RIGHT FOOT",Camellia sinensis
LUBRICANT EYE OINTMENT (AND ALSO NATURAL TEARS DROPS),Camellia sinensis
LUBRICANT TEARS,Camellia sinensis
LUTEA,Camellia sinensis
LYCOPODIUM CLAVATUM TEA,Camellia sinensis
MACROGOL 100 STEARATE,Camellia sinensis
MACROGOL 4000 (STEARATE DE),Camellia sinensis
MAJOR LIQUI TEARS,Camellia sinensis
MATEA,Camellia sinensis
MAXITEAR DRY EYE FORMULA,Camellia sinensis
MAXITEARS,Camellia sinensis
MEDOP MAXI TEARS,Camellia sinensis
"MEGAMAG (MAGNESIUM ASCORBOAASPARTATE, MAGNESIUM STEARATE)",Camellia sinensis
"MEGAMAG (MAGNESIUM ASCORBOASPARTATE, MAGNESIUM STEARATE)",Camellia sinensis
MENOPHYTEA,Camellia sinensis
MENOPHYTEA SOMMEIL,Camellia sinensis
MENOPHYTEA VENTRE PLAT (VEGETAL EXTRACTS),Camellia sinensis
MILK THISTLE TEA,Camellia sinensis
"MINCIPATCH SOLUTION (ORAL SOLUTION) (GLYCERIN, SORBITOL, JAVA TEA, ELD",Camellia sinensis
MINIMS ARTIFICIAL TEARS,Camellia sinensis
MINIMS ARTIFICIAL TEARS EYE DROPS SOLUTION,Camellia sinensis
