"name"	"latin_binomial"
HELMINTHIA DICHOTOMA WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHIA ECHIOIDES WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHIA HUMIFUSA WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHIA RIGIDA WHOLE	HELMINTHOTHECA ECHIOIDES
PICRIS HUMIFUSA WHOLE	HELMINTHOTHECA ECHIOIDES
PICRIS RUDERALIS WHOLE	HELMINTHOTHECA ECHIOIDES
BRISTLY OXTONGUE WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHIA TUBERCULATA WHOLE	HELMINTHOTHECA ECHIOIDES
PICRIS SPINOSA WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHIA SPINOSA WHOLE	HELMINTHOTHECA ECHIOIDES
CREPIS ECHIOIDES WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHIA PRATENSIS WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHOTHECA ECHIOIDES WHOLE	HELMINTHOTHECA ECHIOIDES
HELMINTHOTHECA ECHIOIDES (L.) HOLUB	HELMINTHOTHECA ECHIOIDES
PICRIS ECHIOIDES WHOLE	HELMINTHOTHECA ECHIOIDES
ROUNDLEAF ALUMROOT WHOLE	HEUCHERA CYLINDRICA
HOLOCHLOA GLABRA WHOLE	HEUCHERA CYLINDRICA
HOLOCHLOA OVALIFOLIA WHOLE	HEUCHERA CYLINDRICA
HOLOCHLOA CYLINDRICA WHOLE	HEUCHERA CYLINDRICA
HEUCHERA CYLINDRICA DOUGLAS	HEUCHERA CYLINDRICA
HEUCHERA SUKSDORFII WHOLE	HEUCHERA CYLINDRICA
HEUCHERA CYLINDRICA WHOLE	HEUCHERA CYLINDRICA
POKER ALUMROOT WHOLE	HEUCHERA CYLINDRICA
HEUCHERA SAXICOLA WHOLE	HEUCHERA CYLINDRICA
YAMALA CYLINDRICA WHOLE	HEUCHERA CYLINDRICA
HOLOCHLOA ELATA WHOLE	HEUCHERA CYLINDRICA
HIBISCUS OPULIFOLIUS WHOLE	HIBISCUS MOSCHEUTOS
HIBISCUS MOSCHEUTOS WHOLE	HIBISCUS MOSCHEUTOS
CRIMSONEYED ROSEMALLOW WHOLE	HIBISCUS MOSCHEUTOS
HIBISCUS INCANUS WHOLE	HIBISCUS MOSCHEUTOS
HIBISCUS PINETORUM WHOLE	HIBISCUS MOSCHEUTOS
HIBISCUS PETIOLIFLORUS WHOLE	HIBISCUS MOSCHEUTOS
HIBISCUS MOSCHEUTOS L.	HIBISCUS MOSCHEUTOS
HIBISCUS OCULIROSEUS WHOLE	HIBISCUS MOSCHEUTOS
HIPPOPHAE SALICIFOLIA WHOLE	HIPPOPHAE SALICIFOLIA
WILLOW-LEAVED SEA BUCKTHORN WHOLE	HIPPOPHAE SALICIFOLIA
HIPPOPHAE SALICIFOLIA D.DON	HIPPOPHAE SALICIFOLIA
HIPPOPHAE FASCICULATA WHOLE	HIPPOPHAE SALICIFOLIA
ZAHLBRUCKNERA LONGIFOLIA WHOLE	HYGROPHILA COSTATA
HYGROPHILA LACUSTRIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA ACUTANGULA WHOLE	HYGROPHILA COSTATA
CALOPHANES CUBENSIS WHOLE	HYGROPHILA COSTATA
YERBA DE HICOTEA WHOLE	HYGROPHILA COSTATA
RUELLIA VERTICILLIFLORA WHOLE	HYGROPHILA COSTATA
RUELLIA RIVULARIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA BRASILIENSIS WHOLE	HYGROPHILA COSTATA
PEDICULARIS SESSILIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA COSTATA NEES	HYGROPHILA COSTATA
JUSTICIA MARRUBIASTRUM WHOLE	HYGROPHILA COSTATA
ZAHLBRUCKNERA MICRANTHA WHOLE	HYGROPHILA COSTATA
ZAHLBRUCKNERA OBLONGIFOLIA WHOLE	HYGROPHILA COSTATA
HYGROPHILA ATRICHETA WHOLE	HYGROPHILA COSTATA
RUELLIA LACUSTRIS WHOLE	HYGROPHILA COSTATA
ZAHLBRUCKNERA CONFERTA WHOLE	HYGROPHILA COSTATA
HYGROPHILA HISPIDA WHOLE	HYGROPHILA COSTATA
HYGROPHILA GUIANENSIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA PUBESCENS WHOLE	HYGROPHILA COSTATA
JUSTICIA LITHOSPERMIFOLIA WHOLE	HYGROPHILA COSTATA
RUELLIA JUSTICIIFLORA WHOLE	HYGROPHILA COSTATA
HYGROPHILA HELODES WHOLE	HYGROPHILA COSTATA
RUELLIA HISPIDA WHOLE	HYGROPHILA COSTATA
EBERLEA GLOMERATA WHOLE	HYGROPHILA COSTATA
SYNNEMA VERTICILLATUM WHOLE	HYGROPHILA COSTATA
JUSTICIA COSTATA WHOLE	HYGROPHILA COSTATA
HYGROPHILA RIVULARIS WHOLE	HYGROPHILA COSTATA
DIPTERACANTHUS BRASILIENSIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA COSTATA WHOLE	HYGROPHILA COSTATA
HYGROPHILA CONFERTA WHOLE	HYGROPHILA COSTATA
RUELLIA BRASILIENSIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA PORTORICENSIS WHOLE	HYGROPHILA COSTATA
HYGROPHILA LATIFOLIA WHOLE	HYGROPHILA COSTATA
BLEPHARIS VERTICILLATA WHOLE	HYGROPHILA COSTATA
ECBOLIUM LITHOSPERMIFOLIUM WHOLE	HYGROPHILA COSTATA
RUELLIA FILICIFOLIA WHOLE	HYGROPHILA COSTATA
HYLOTELEPHIUM TELEPHIUM WHOLE	HYLOTELEPHIUM TELEPHIUM
LIVELONG WHOLE	HYLOTELEPHIUM TELEPHIUM
LIVE-FOREVER WHOLE	HYLOTELEPHIUM TELEPHIUM
SEDUM TELEPHIUM L.	HYLOTELEPHIUM TELEPHIUM
LIFE-EVERLASTING WHOLE	HYLOTELEPHIUM TELEPHIUM
ORPINE WHOLE	HYLOTELEPHIUM TELEPHIUM
FROG'S-STOMACH WHOLE	HYLOTELEPHIUM TELEPHIUM
MIDSUMMER-MEN WHOLE	HYLOTELEPHIUM TELEPHIUM
WITCH'S MONEYBAGS WHOLE	HYLOTELEPHIUM TELEPHIUM
VIT-TOUJOURS WHOLE	HYLOTELEPHIUM TELEPHIUM
HARPING JOHNNY WHOLE	HYLOTELEPHIUM TELEPHIUM
HYLOTELEPHIUM TELEPHIUM (L.) H. OHBA	HYLOTELEPHIUM TELEPHIUM
ORPHAN JOHN WHOLE	HYLOTELEPHIUM TELEPHIUM
SEDUM TELEPHIUM WHOLE	HYLOTELEPHIUM TELEPHIUM
HYPERICUM NUDICAULE WHOLE	HYPERICUM GENTIANOIDES
SAROTHRA CUNEIFOLIA WHOLE	HYPERICUM GENTIANOIDES
BRATHYS GENTIANOIDES WHOLE	HYPERICUM GENTIANOIDES
PINWEED ST. JOHNSWORT WHOLE	HYPERICUM GENTIANOIDES
ORANGEGRASS WHOLE	HYPERICUM GENTIANOIDES
HYPERICUM GENTIANOIDES (L.) BRITTON, STERNS & POGGENB.	HYPERICUM GENTIANOIDES
HYPERICUM GENTIANOIDES WHOLE	HYPERICUM GENTIANOIDES
HYPERICOIDES PERFORATA WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM MACROSEPALUM WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM HYPERICIFOLIUM WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM HYPERICOIDES WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM MONTANUM WHOLE	HYPERICUM HYPERICOIDES
ST. ANDREW'S CROSS WHOLE	HYPERICUM HYPERICOIDES
HYPERICUM HYPERICOIDES WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM PLUMIERI WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM LINIFOLIUM WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM MICHAUXII WHOLE	HYPERICUM HYPERICOIDES
ASCYRUM OBLONGIFOLIUM WHOLE	HYPERICUM HYPERICOIDES
HYPERICUM HYPERICOIDES (L.) CRANTZ	HYPERICUM HYPERICOIDES
KLAMATHWEED WHOLE	HYPERICUM PERFORATUM
COMMON ST JOHNSWORT WHOLE	HYPERICUM PERFORATUM
KLAMATH-WEED WHOLE	HYPERICUM PERFORATUM
HYPERICUM PERFORATUM WHOLE	HYPERICUM PERFORATUM
ST. JOHN'S WORT WHOLE	HYPERICUM PERFORATUM
HYPERICUM PERFORATUM [WHO-DD]	HYPERICUM PERFORATUM
HYPERICUM OFFICINARUM WHOLE	HYPERICUM PERFORATUM
COMMON ST. JOHN'S WORT WHOLE	HYPERICUM PERFORATUM
TIPTON'S-WEED WHOLE	HYPERICUM PERFORATUM
HYPERICUM OFFICINALE WHOLE	HYPERICUM PERFORATUM
ST. JOHN'S WORT [HOC]	HYPERICUM PERFORATUM
COMMON ST. JOHNSWORT WHOLE	HYPERICUM PERFORATUM
HYPERICUM PERFORATUM	HYPERICUM PERFORATUM
GOAT-WEED WHOLE	HYPERICUM PERFORATUM
EOLA-WEED WHOLE	HYPERICUM PERFORATUM
CHASE-DEVIL WHOLE	HYPERICUM PERFORATUM
ST. JOHN'S-WORT WHOLE	HYPERICUM PERFORATUM
HYPERICUM PERFORATUM [HPUS]	HYPERICUM PERFORATUM
ST. JOHNSWORT WHOLE	HYPERICUM PERFORATUM
HYPERICUM PERFORATUM EXTRACT [WHO-DD]	HYPERICUM PERFORATUM
KLAMATH WEED WHOLE	HYPERICUM PERFORATUM
HYPERICUM PERFORATUM L.	HYPERICUM PERFORATUM
HYPERICUM VULGARE WHOLE	HYPERICUM PERFORATUM
ROSIN-ROSE WHOLE	HYPERICUM PERFORATUM
TIPTON'S WEED WHOLE	HYPERICUM PERFORATUM
SPOTTED ST. JOHNSWORT WHOLE	HYPERICUM PUNCTATUM
HYPERICUM PUNCTATUM LAM.	HYPERICUM PUNCTATUM
HYPERICUM SUBPETIOLATUM WHOLE	HYPERICUM PUNCTATUM
HYPERICUM PUNCTATUM WHOLE	HYPERICUM PUNCTATUM
HYPERICUM MICRANTHUM WHOLE	HYPERICUM PUNCTATUM
HYPERICUM KALMII WHOLE	HYPERICUM REVOLUTUM
HYPERICUM KALMIANUM WHOLE	HYPERICUM REVOLUTUM
HYPERICUM REVOLUTUM WHOLE	HYPERICUM REVOLUTUM
HYPERICUM REVOLUTUM VAHL	HYPERICUM REVOLUTUM
HYPERICUM LEUCOPTYCHODES WHOLE	HYPERICUM REVOLUTUM
HYPERICUM LANURIENSE WHOLE	HYPERICUM REVOLUTUM
HYPERICUM TRIQUETRIFOLIUM WHOLE	HYPERICUM TRIQUETRIFOLIUM
HYPERICUM CRISPUM WHOLE	HYPERICUM TRIQUETRIFOLIUM
HYPERICUM PATENTISSIMUM WHOLE	HYPERICUM TRIQUETRIFOLIUM
HYPERICUM TRIQUETRIFOLIUM TURRA	HYPERICUM TRIQUETRIFOLIUM
HYSSOPUS OFFICINALIS [WHO-DD]	HYSSOPUS OFFICINALIS
HYSSOPUS OFFICINALIS L.	HYSSOPUS OFFICINALIS
HYSSOP WHOLE	HYSSOPUS OFFICINALIS
HYSSOPUS OFFICINALIS WHOLE	HYSSOPUS OFFICINALIS
HYSSOP [HOC]	HYSSOPUS OFFICINALIS
THYMUS HYSSOPUS WHOLE	HYSSOPUS OFFICINALIS
ILEX RADICANS WHOLE	ILEX CRENATA
ILEX CRENATA THUNB.	ILEX CRENATA
CELASTRUS ADENOPHYLLUS WHOLE	ILEX CRENATA
EURYA MYRTILLOIDES WHOLE	ILEX CRENATA
ILEX YUANA WHOLE	ILEX CRENATA
ILEX HELLERI WHOLE	ILEX CRENATA
JAPANESE HOLLY WHOLE	ILEX CRENATA
PRINOS CRENATUS WHOLE	ILEX CRENATA
ILEX CRENATA WHOLE	ILEX CRENATA
ILEX LUZONICA WHOLE	ILEX CRENATA
ILEX BURFORDII WHOLE	ILEX CRENATA
ILEX EURYIFOLIA WHOLE	ILEX CRENATA
ILEX THOMSONII WHOLE	ILEX CRENATA
NEMOPANTHUS MUCRONATUS WHOLE	ILEX MUCRONATA
ILEX MUCRONATA WHOLE	ILEX MUCRONATA
PRINOS LONGIPES WHOLE	ILEX MUCRONATA
NEMOPANTHUS FASCICULARIS WHOLE	ILEX MUCRONATA
ILICIOIDES CANADENSE WHOLE	ILEX MUCRONATA
ILEX DELICATULA WHOLE	ILEX MUCRONATA
CATBERRY WHOLE	ILEX MUCRONATA
PRINOS INTEGRIFOLIUS WHOLE	ILEX MUCRONATA
ILICIOIDES MUCRONATA WHOLE	ILEX MUCRONATA
VACCINIUM MUCRONATUM WHOLE	ILEX MUCRONATA
ILEX MUCRONATA (L.) M.POWELL, SAVOL. & S.ANDREWS	ILEX MUCRONATA
PRINOS CANADENSIS WHOLE	ILEX MUCRONATA
NEMOPANTHUS LUCIDA WHOLE	ILEX MUCRONATA
NEMOPANTHUS CANADENSIS WHOLE	ILEX MUCRONATA
NUTTALLIA CANADENSIS WHOLE	ILEX MUCRONATA
ILEX PRUNIFOLIA WHOLE	ILEX MUCRONATA
AMERICAN HOLLY WHOLE	ILEX OPACA
ILEX AMERICANA WHOLE	ILEX OPACA
ILEX ARENICOLA WHOLE	ILEX OPACA
ILEX CUMULICOLA WHOLE	ILEX OPACA
ILEX OPACA WHOLE	ILEX OPACA
AGERIA OPACA WHOLE	ILEX OPACA
ILEX QUERCIFOLIA WHOLE	ILEX OPACA
ILEX OPACA AITON	ILEX OPACA
ILEX CANADENSIS WHOLE	ILEX OPACA
ILEX MATE WHOLE	ILEX PARAGUARIENSIS
ILEX PARAGUARIENSIS [WHO-DD]	ILEX PARAGUARIENSIS
MATE WHOLE	ILEX PARAGUARIENSIS
PARAGUAY TEA WHOLE	ILEX PARAGUARIENSIS
ILEX THEAEZANS WHOLE	ILEX PARAGUARIENSIS
ILEX PARAGUARIENSIS A.ST.-HIL.	ILEX PARAGUARIENSIS
ILEX CURITIBENSIS WHOLE	ILEX PARAGUARIENSIS
ILEX VESTITA WHOLE	ILEX PARAGUARIENSIS
ILEX PARAGUAYENSIS WHOLE	ILEX PARAGUARIENSIS
ILEX SORBILIS WHOLE	ILEX PARAGUARIENSIS
ILEX DOMESTICA WHOLE	ILEX PARAGUARIENSIS
ILEX PARAGUARIENSIS WHOLE	ILEX PARAGUARIENSIS
ILEX CONGONHAS WHOLE	ILEX PARAGUARIENSIS
ILEX BONPLANDIANA WHOLE	ILEX PARAGUARIENSIS
MATE [HOC]	ILEX PARAGUARIENSIS
ILEX PARAGUARIENSIS A. ST.-HIL.	ILEX PARAGUARIENSIS
ILEX LIGUSTRINA WHOLE	ILEX VOMITORIA
ILEX VOMITORIA WHOLE	ILEX VOMITORIA
YAUPON HOLLY WHOLE	ILEX VOMITORIA
YAUPON WHOLE	ILEX VOMITORIA
YAUPON [HOC]	ILEX VOMITORIA
ILEX VOMITORIA AITON	ILEX VOMITORIA
BALSAMINA PARVIFLORA WHOLE	IMPATIENS PARVIFLORA
SMALLFLOWER TOUCH-ME-NOT WHOLE	IMPATIENS PARVIFLORA
IMPATIENS PARVIFLORA DC.	IMPATIENS PARVIFLORA
IMPATIENS PARVIFLORA WHOLE	IMPATIENS PARVIFLORA
IMPATIENS NEVSKII WHOLE	IMPATIENS PARVIFLORA
INDIGOFERA HIRSUTA WHOLE	INDIGOFERA HIRSUTA
INDIGOFERA BARBATA WHOLE	INDIGOFERA HIRSUTA
INDIGOFERA FUSCA WHOLE	INDIGOFERA HIRSUTA
INDIGOFERA RHODOSANTHA WHOLE	INDIGOFERA HIRSUTA
INDIGOFERA INDICA WHOLE	INDIGOFERA HIRSUTA
INDIGOFERA FERRUGINEA WHOLE	INDIGOFERA HIRSUTA
ROUGHHAIRY INDIGO WHOLE	INDIGOFERA HIRSUTA
HEDYSARUM COCCINEUM WHOLE	INDIGOFERA HIRSUTA
INDIGOFERA HIRSUTA L.	INDIGOFERA HIRSUTA
PHYSISPORUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
CHAGA [HOC]	INONOTUS OBLIQUUS
PHELLINUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
INONOTUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
CLINKER POLYPORE WHOLE	INONOTUS OBLIQUUS
XANTHOCHROUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
SCINDALMA OBLIQUUM WHOLE	INONOTUS OBLIQUUS
BOLETUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
PORIA OBLIQUA WHOLE	INONOTUS OBLIQUUS
FOMES OBLIQUUS WHOLE	INONOTUS OBLIQUUS
POLYPORUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
MUCRONOPORUS OBLIQUA WHOLE	INONOTUS OBLIQUUS
FUSCOPORIA OBLIQUA WHOLE	INONOTUS OBLIQUUS
PHAEOPORUS OBLIQUUS WHOLE	INONOTUS OBLIQUUS
ELECAMPANE [HOC]	INULA HELENIUM
ELECAMPANE INULA WHOLE	INULA HELENIUM
ELECAMPANE WHOLE	INULA HELENIUM
YELLOW STARWORT WHOLE	INULA HELENIUM
ELF-WORT WHOLE	INULA HELENIUM
HELENIUM GRANDIFLORUM WHOLE	INULA HELENIUM
INULA HELENIUM L.	INULA HELENIUM
ELF-DOCK WHOLE	INULA HELENIUM
INULA HELENIUM [WHO-DD]	INULA HELENIUM
INULA HELENIUM WHOLE	INULA HELENIUM
HORSE-ELDER WHOLE	INULA HELENIUM
HORSE-HEAL WHOLE	INULA HELENIUM
CORVISARTIA HELENIUM WHOLE	INULA HELENIUM
ASTER HELENIUM WHOLE	INULA HELENIUM
SCAB-WORT WHOLE	INULA HELENIUM
TU MU XIANG WHOLE	INULA HELENIUM
VELVET-DOCK WHOLE	INULA HELENIUM
IPOMOEA DUMOSA WHOLE	IPOMOEA DUMOSA
IPOMOEA DUMOSA (BENTH.) L.O. WILLIAMS	IPOMOEA DUMOSA
IPOMOEA PANDURATA (L.) G. MEY.	IPOMOEA PANDURATA
MAN OF THE EARTH WHOLE	IPOMOEA PANDURATA
IPOMOEA PANDURATA WHOLE	IPOMOEA PANDURATA
BIGROOT MORNINGGLORY WHOLE	IPOMOEA PANDURATA
CONVOLVULUS PANDURATUS WHOLE	IPOMOEA PANDURATA
MAN-OF-THE-EARTH WHOLE	IPOMOEA PANDURATA
IPOMOEA WOLCOTTIANA WHOLE	IPOMOEA WOLCOTTIANA
IPOMOEA CALVA WHOLE	IPOMOEA WOLCOTTIANA
IPOMOEA WOLCOTTIANA ROSE	IPOMOEA WOLCOTTIANA
XIPHION VIRGINICUM WHOLE	IRIS VIRGINICA
IRIS VIRGINICA L.	IRIS VIRGINICA
LIMNIRIS VIRGINICA WHOLE	IRIS VIRGINICA
IRIS VIRGINICA WHOLE	IRIS VIRGINICA
SOUTHERN BLUE FLAG WHOLE	IRIS VIRGINICA
IRIS CONVOLUTE WHOLE	IRIS VIRGINICA
VIRGINIA IRIS WHOLE	IRIS VIRGINICA
IRIS GEORGIANA WHOLE	IRIS VIRGINICA
IRIS SHREVEI WHOLE	IRIS VIRGINICA
BLUE FLAG (IRIS VIRGINICA) [HOC]	IRIS VIRGINICA
LIMNIRIS SHREVEI WHOLE	IRIS VIRGINICA
IRIS CAROLINIANA WHOLE	IRIS VIRGINICA
IRIS CONVOLUTA WHOLE	IRIS VIRGINICA
OTHONNA MARITIMA WHOLE	JACOBAEA MARITIMA
SILVER RAGWORT WHOLE	JACOBAEA MARITIMA
JACOBAEA MARITIMA (L.) PELSER & MEIJDEN	JACOBAEA MARITIMA
CINERARIA MARITIMA, SUCCUS [HPUS]	JACOBAEA MARITIMA
JACOBAEA MARITIMA WHOLE	JACOBAEA MARITIMA
SENECIO BICOLOR WHOLE	JACOBAEA MARITIMA
JACOBAEA MARITIMA [WHO-DD]	JACOBAEA MARITIMA
CINERARIA MARITIMA [HPUS]	JACOBAEA MARITIMA
SENECIO CINERARIA WHOLE	JACOBAEA MARITIMA
JACOBAEA MARITIMA	JACOBAEA MARITIMA
CINERARIA MARITIMA WHOLE	JACOBAEA MARITIMA
MANIHOT CURCAS WHOLE	JATROPHA CURCAS
BARBADOS NUT WHOLE	JATROPHA CURCAS
CURCAS DRASTICA WHOLE	JATROPHA CURCAS
JATROPHA EDULIS WHOLE	JATROPHA CURCAS
JATROPHA CURCAS L.	JATROPHA CURCAS
JATROPHA CURCAS WHOLE	JATROPHA CURCAS
JATROPHA ACERIFOLIA WHOLE	JATROPHA CURCAS
CURCAS ADANSONII WHOLE	JATROPHA CURCAS
PURGING NUT [HOC]	JATROPHA CURCAS
RICINUS JARAK WHOLE	JATROPHA CURCAS
RICINOIDES AMERICANA WHOLE	JATROPHA CURCAS
CURCAS LOBATA WHOLE	JATROPHA CURCAS
CURCAS PURGANS WHOLE	JATROPHA CURCAS
RICINUS AMERICANUS WHOLE	JATROPHA CURCAS
JATROPHA YUCATANENSIS WHOLE	JATROPHA CURCAS
CURCAS INDICA WHOLE	JATROPHA CURCAS
CASTIGLIONIA LOBATA WHOLE	JATROPHA CURCAS
JATROPHA CONDOR WHOLE	JATROPHA CURCAS
JATROPHA AFROCURCAS WHOLE	JATROPHA CURCAS
JUGLANS NIGRA [WHO-DD]	JUGLANS NIGRA
BLACK WALNUT [HOC]	JUGLANS NIGRA
BLACK WALNUT WHOLE	JUGLANS NIGRA
AMERICAN WALNUT WHOLE	JUGLANS NIGRA
JUGLANS NIGRA L.	JUGLANS NIGRA
WALLIA NIGRA WHOLEE	JUGLANS NIGRA
JUGLANS NIGRA WHOLE	JUGLANS NIGRA
WALLIA NIGRA WHOLE	JUGLANS NIGRA
NOYER NOIR WHOLE	JUGLANS NIGRA
JUGLANS PITTEURSII WHOLE	JUGLANS NIGRA
JUGLANS ARGUTA WHOLE	JUGLANS REGIA
JUGLANS FRUTICOSA WHOLE	JUGLANS REGIA
ENGLISH WALNUT WHOLE	JUGLANS REGIA
JUGLANS REGIA KAMAONIA WHOLE	JUGLANS REGIA
JUGLANS FILICIFOLIA WHOLE	JUGLANS REGIA
JUGLANS FERTILIS WHOLE	JUGLANS REGIA
MADEIRA-NUT WHOLE	JUGLANS REGIA
JUGLANS ASPLENIFOLIA WHOLE	JUGLANS REGIA
JUGLANS ORIENTIS WHOLE	JUGLANS REGIA
JUGLANS REGIA L.	JUGLANS REGIA
HU TAO WHOLE	JUGLANS REGIA
JUGLANS MONOPHYLLA WHOLE	JUGLANS REGIA
JUGLANS REGIA WHOLE	JUGLANS REGIA
JUGLANS PENDULA WHOLE	JUGLANS REGIA
JUGLANS REGIA (WALNUT) WHOLE	JUGLANS REGIA
JUGLANS SINENSIS WHOLE	JUGLANS REGIA
JUGLANS SALICIFOLIA WHOLE	JUGLANS REGIA
JUGLANS REGIA [WHO-DD]	JUGLANS REGIA
JUGLANS PRAEMATURIENS WHOLE	JUGLANS REGIA
ENGLISH WALNUT [HOC]	JUGLANS REGIA
JUGLANS KAMAONIA WHOLE	JUGLANS REGIA
REGIA MAXIMA WHOLE	JUGLANS REGIA
AKSHOTA WHOLE	JUGLANS REGIA
JUGLANS LACINIATA WHOLE	JUGLANS REGIA
JUGLANS DUCLOUXIANA WHOLE	JUGLANS REGIA
JUGLANS HETEROPHYLLA WHOLE	JUGLANS REGIA
JUGLANS FRUTESCENS WHOLE	JUGLANS REGIA
JUGLANS LONGIROSTRIS WHOLE	JUGLANS REGIA
JUGLANS FALLAX WHOLE	JUGLANS REGIA
PERSIAN WALNUT WHOLE	JUGLANS REGIA
JUNCUS CONGLOMERATUS WHOLE	JUNCUS EFFUSUS
JUNCUS LAEVIS WHOLE	JUNCUS EFFUSUS
JUNCUS LAEVIS	JUNCUS EFFUSUS
SOFT RUSH [HOC]	JUNCUS EFFUSUS
JUNCUS EFFUSUS WHOLE	JUNCUS EFFUSUS
JAPANESE MAT RUSH WHOLE	JUNCUS EFFUSUS
LAMP RUSH WHOLE	JUNCUS EFFUSUS
JUNCUS MEDULLA	JUNCUS EFFUSUS
JUNCUS COMMUNIS WHOLE	JUNCUS EFFUSUS
MEDULLA JUNCI	JUNCUS EFFUSUS
SOFT RUSH WHOLE	JUNCUS EFFUSUS
JUNCUS EFFUSUS L.	JUNCUS EFFUSUS
DENG XIN CAO WHOLE	JUNCUS EFFUSUS
COMMON RUSH WHOLE	JUNCUS EFFUSUS
FLATTERBINSE	JUNCUS EFFUSUS
BOG RUSH WHOLE	JUNCUS EFFUSUS
BULRUSH WHOLE	JUNCUS EFFUSUS
TRISTEMON CONGLOMERATUS WHOLE	JUNCUS EFFUSUS
TORREY RUSH WHOLE	JUNCUS TORREYI
JUNCUS TORREYI COVILLE	JUNCUS TORREYI
TORREY'S RUSH WHOLE	JUNCUS TORREYI
JUNCUS TORREYI WHOLE	JUNCUS TORREYI
JUNIPER [HOC]	JUNIPERUS COMMUNIS
COMMON JUNIPER WHOLE	JUNIPERUS COMMUNIS
JUNIPERUS COMMUNIS [WHO-DD]	JUNIPERUS COMMUNIS
B2040 [LANGUAL]	JUNIPERUS COMMUNIS
DWARF JUNIPER WHOLE	JUNIPERUS COMMUNIS
JUNIPER WHOLE	JUNIPERUS COMMUNIS
JUNIPERUS COMMUNIS L.	JUNIPERUS COMMUNIS
JUNIPERUS COMMUNIS WHOLE	JUNIPERUS COMMUNIS
JUNIPERUS OXYCEDRUS [WHO-DD]	JUNIPERUS OXYCEDRUS
JUNIPERUS OXYCEDRUS L.	JUNIPERUS OXYCEDRUS
CADE JUNIPER [HOC]	JUNIPERUS OXYCEDRUS
CADE JUNIPER WHOLE	JUNIPERUS OXYCEDRUS
REDBERRY JUNIPER WHOLE	JUNIPERUS OXYCEDRUS
PRICKLY JUNIPER WHOLE	JUNIPERUS OXYCEDRUS
JUNIPERUS OXYCEDRUS WHOLE	JUNIPERUS OXYCEDRUS
JUNIPERUS ARGENTEA WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS VIRGINIANA WHOLE	JUNIPERUS VIRGINIANA
RED CEDAR JUNIPER WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS SMITHIPENDULA WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS ARBORESCENS WHOLE	JUNIPERUS VIRGINIANA
SABINA GLAUCA WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS FRAGRANS WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS VIRGINIANA L.	JUNIPERUS VIRGINIANA
JUNIPERUS GOSSAINTHANEA WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS CINERASCENS WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS POLYMORPHA WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS NUTANS WHOLE	JUNIPERUS VIRGINIANA
EASTERN RED-CEDAR WHOLE	JUNIPERUS VIRGINIANA
SABINA VIRGINIANA WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS CANNARTII WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS CHAMBERLAYNII WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS CAROLINIANA WHOLE	JUNIPERUS VIRGINIANA
EASTERN REDCEDAR WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS SCHOTTII WHOLE	JUNIPERUS VIRGINIANA
JUNIPERUS BEDFORDIANA WHOLE	JUNIPERUS VIRGINIANA
EASTERN RED CEDAR [HOC]	JUNIPERUS VIRGINIANA
JUNIPERUS CAROLIANA WHOLE	JUNIPERUS VIRGINIANA
KADSURA JAPONICA WHOLE	KADSURA JAPONICA
SCHISANDRA JAPONICA WHOLE	KADSURA JAPONICA
FALSE SCHISANDRA WHOLE	KADSURA JAPONICA
