"p1"	"upper"
COLEUS AROMATICUS WHOLE	CYPERUS ROTUNDUS
BRASSICA BRIGGSII WHOLE	ALECTRA SESSILIFLORA
HAMAMELIS VIRGINIANA WHOLE	VICIA FABA
ROSA X DAMASCENA AURORA WHOLE	CORYLUS AVELLANA
ARDISIA CRENATA SIMS	PLATANUS OCCIDENTALIS
GALIUM APARINE WHOLE	SOLANUM NIGRUM
VACCINIUM ANGUSTIROLIUM WHOLE	PLANTAGO MAJOR
VIRGINIA IRIS WHOLE	BALLOTA NIGRA
AMOMUM GRANDIFLORUM WHOLE	AGELAEA PENTAGYNA
ULMARIA QUINQUELOBA WHOLE	NYMPHAEA ODORATA
COREOPSIS ALBA WHOLE	SALIX NIGRA
ROSA MOLLARDIANA WHOLE	CITRUS AURANTIUM
MIRABILIS DICHOTOMA WHOLE	CELTIS LAEVIGATA
DAPHNE KABYLICA WHOLE	FAGUS GRANDIFOLIA
ENTEROLOBIUM CYCLOCARPUM WHOLE	ULMUS MINOR
CHIONANTHUS VIRGINICUS WHOLE	EMILIA SONCHIFOLIA
SPREADING PELLITORY WHOLE	VIBURNUM OPULUS
CITRUS X MYRTIFOLIA WHOLE	MACLURA TINCTORIA
RUTA FUMARIIFOLIA WHOLE	CANTINOA AMERICANA
ALOCASIA PALLIDA WHOLE	ULMUS MINOR
ROSA RUBESCENS WHOLE	CLARKIA PURPUREA
COMBRETUM FERRUGINEUM WHOLE	SONCHUS OLERACEUS
SENECIO FISCHERI WHOLE	CAULOPHYLLUM THALICTROIDES
ZANTHOXYLUM OVALIFOLIUM WIGHT	SABAL MINOR
JATROPHA ACERIFOLIA WHOLE	ANTHYLLIS VULNERARIA
ACHILLEA POLYPHYLLA WHOLE	GLYCYRRHIZA GLABRA
MOTHERWORT WHOLE	ACHILLEA MILLEFOLIUM
CASTANEA DENTATA (MARSHALL) BORKH.	AGELAEA PENTAGYNA
SALVIA MACRANTHA WHOLE	NIU BANG ZI
SATUREJA RIGIDA WHOLE	APIUM GRAVEOLENS
ACER CAROLINIANUM WHOLE	IPOMOEA DUMOSA
GLAUCIUM LUTEUM WHOLE	JUNCUS TORREYI
SAMBUCUS CERULEA VAR. MEXICANA WHOLE	MEDICAGO POLYMORPHA
POISON-APPLE WHOLE	SOLIDAGO CANADENSIS
CRUCIFERA TENUIFOLIA WHOLE	BUPLEURUM CHINENSE
HYPERICUM PERFORATUM EXTRACT [WHO-DD]	CASTILLEJA MINIATA
CEDRELA GLABRA WHOLE	BERBERIS ARISTATA
PLANTAGO JAPONICA WHOLE	CARYA ILLINOINENSIS
CLINOPODIUM POLYCEPHALUM [WHO-DD]	RUDBECKIA HIRTA
HELOSCIADIUM RUTACEUM WHOLE	SAMBUCUS CANADENSIS
FICUS CAPRIFICUS WHOLE	SPERMACOCE VERTICILLATA
COMMON PERSIMMON WHOLE	CIRSIUM ERIOPHORUM
ANTELAEA AZADIRACHTA WHOLE	PETROSELINUM CRISPUM
MENTHA SPICATA SUBSP. SPICATA WHOLE	EUGENIA BIFLORA
BIGLEAF PERIWINKLE WHOLE	MIKANIA BANISTERIAE
LESSER GALANGAL [HOC]	EQUISETUM HYEMALE
WILD RUTABAGA WHOLE	GALEGA OFFICINALIS
BAEOBOTRYS LANCEOLATA WHOLE	CODONOPSIS PILOSULA
MIKANIA ONIAENSIS WHOLE	ERUCA VESICARIA
ANCHUSA ANGUSTIFOLIA WHOLE	KADSURA JAPONICA
BENGAL CARDAMOM WHOLE	URENA LOBATA
ESCHSCHOLZIA JUNCEA WHOLE	CINNAMOMUM BURMANNI
PIRIQUETA RACEMOSA (JACQ.) SWEET	BRASSICA NIGRA
LUMNITZERA TENUIFLORA WHOLE	SENNA OBTUSIFOLIA
PTERIDIUM CEHEGINENSE WHOLE	SALVIA VERBENACA
ULMUS AMERICANA WHOLE	ASPARAGUS SETACEUS
LONICERA NIGRA WHOLE	COMBRETUM MOLLE
ERYTHRAEA PULCHELLA WHOLE	VACCINIUM PALLIDUM
CARRY ME SEED WHOLE	ATRACTYLODES LANCEA
TILIA STENOPETALA WHOLE	GLAUCIUM FLAVUM
RAPHANUS VESICARIUS WHOLE	SALVIA PRATENSIS
ATHAMANTA PUBESCENS WHOLE	CASTANEA SATIVA
CINERARIA FARFARA WHOLE	GLAUCIUM FLAVUM
SPANISH-NEEDLES WHOLE	EMILIA SONCHIFOLIA
DEVIL'S CLAW WHOLE	ASCLEPIAS CURASSAVICA
SMILAX LEPTANTHERA WHOLE	ANTHYLLIS VULNERARIA
BLACK PEPPER WHOLE	PYRUS NIVALIS
MENTHA CABLIN WHOLE	KALANCHOE CRENATA
PRENANTHES SQUARROSA WHOLE	ROSA CANINA
PHYTOLACCA AMERICANA L.	SILYBUM MARIANUM
PENIUM SILVAENIGRAE RABANUS	PINUS NIGRA
SMILAX DELTIFOLIA WHOLE	VERBASCUM THAPSUS
MAESA LANCEOLATA FORSSK.	BERBERIS ARISTATA
MATRICARIA CAPITELLATA WHOLE	VERBASCUM THAPSUS
FRANGULA [HOC]	CUPHEA CARTHAGENENSIS
ALLIUM GASPARRINII WHOLE	HYGROPHILA COSTATA
LYCIUM THUNBERGII WHOLE	LONICERA PERICLYMENUM
CAPSELLA INTEGRIFOLIA WHOLE	CHIMAPHILA UMBELLATA
KNAUTIA VARIABILIS WHOLE	SALVIA MILTIORRHIZA
MALVA RUDERALIS WHOLE	EUCLEA RACEMOSA
PINUS BALDENSIS WHOLE	BACTRIS MAJOR
DOG ROSE [HOC]	PIPER NIGRUM
MIKANIA FERRUGINEA WHOLE	CYCLAMEN HEDERIFOLIUM
MELISSA NEPETA WHOLE	PTELEA TRIFOLIATA
DIOSCOREA LIEBRECHTSIANA WHOLE	CHRYSOJASMINUM FRUTICANS
AMBROSIA ARTEMISIIFOLIA	PSEUDOTSUGA MENZIESII
SHEPHERDS-PURSE [EMA HERBAL SUBSTANCE]	LEVISTICUM OFFICINALE
ALBARICOQUE WHOLE	BAUHINIA DIVARICATA
CHRYSANTHEMUM PARTHENIUM WHOLE	SOLANUM ANGUIVI
AQUATIC MILKWEED WHOLE	DIPLOTAXIS TENUIFOLIA
BERBERIS COERULESCENS WHOLE	LEVISTICUM OFFICINALE
SINGLESEED HAWTHORN WHOLE	ESCHSCHOLZIA CALIFORNICA
ALLOSORUS ACUTIFOLIUS WHOLE	ORIGANUM MAJORANA
FOENICULUM VULGARE WHOLE	ACHILLEA MILLEFOLIUM
MITRACARPUS VILLOSUS WHOLE	BAUHINIA DIVARICATA
TRICHERA CAMPESTRIS WHOLE	BERBERIS VULGARIS
MILIUM HIRSUTUM WHOLE	AGELAEA PENTAGYNA
FICUS CARICA L.	MENTHA PULEGIUM
BIDENS MINOR WHOLE	CHELIDONIUM MAJUS
MARRUBIUM VULGARE	CAPSELLA BURSA-PASTORIS
SISYMBRIUM OFFICINALE	TODDALIA ASIATICA
DRYNARIA CRASSIFOLIA WHOLE	CHRYSOJASMINUM FRUTICANS
QUERCUS AMBROZYANA WHOLE	LYCIUM BARBARUM
FLOATING PRIMROSEWILLOW WHOLE	BERBERIS VULGARIS
MACLURA SEMPERVIRENS WHOLE	ARISTOLOCHIA SERICEA
SALVIA SIMSIANA WHOLE	LENS CULINARIS
DOLICHOS POLYSTACHYUS WHOLE	ATRACTYLODES LANCEA
COMMON KIDNEYVETCH WHOLE	BIDENS PILOSA
SOLANUM ANGUIVI WHOLE	RUBUS FLAGELLARIS
SABATIA PULCHELLA WHOLE	LONICERA JAPONICA
MUGO PINE WHOLE	FOENICULUM VULGARE
CAPSELLA LONGIRACEMOSA WHOLE	ARISTOLOCHIA FIMBRIATA
SICYOS FAURIEI WHOLE	THYMUS VULGARIS
VITEX DONIANA	GALEGA OFFICINALIS
ILLECEBRUM MAURITANICUM WHOLE	TORMINALIS GLABERRIMA
CONYZA ELATA WHOLE	VERBASCUM THAPSUS
RUTERIA PINNATA WHOLE	LEONURUS CARDIACA
VIBURNUM OPULUS VAR. OPULUS WHOLE	AGRIMONIA EUPATORIA
CHLOROPHORA MOLLIS WHOLE	LINARIA VULGARIS
NEMEXIA LEPTANTHERA WHOLE	PLANTAGO MAJOR
SAMBUCUS SIMPSONII WHOLE	CRATAEGUS LAEVIGATA
STERCULIA URENS	TYPHA DOMINGENSIS
RICINOIDES AMERICANA WHOLE	CECROPIA PELTATA
CAPSELLA TIBELENSIS WHOLE	ACTAEA RACEMOSA
NEPETA JAPONICA WHOLE	ULMUS RUBRA
ILLECEBRUM ITALICUM WHOLE	CARTHAMUS LANATUS
WILD CLARY WHOLE	PHYTOLACCA AMERICANA
CULINARY SAGE WHOLE	SMILAX LAURIFOLIA
MAMEY WHOLE	FICUS SAUSSUREANA
GLYCYRRHIZA GLANDULIFERA WHOLE	HELMINTHOTHECA ECHIOIDES
JUGLANS ANGUSTIFOLIA WHOLE	TILIA AMERICANA
SABAL PUMILA WHOLE	ANTHYLLIS VULNERARIA
CALEA SURIANI WHOLE	MELIA AZEDARACH
PAULETIA GEMINATA WHOLE	BIXA ORELLANA
MORUS PLUMIERA WHOLE	GUGGUL
LITHOSPERMUM PULCHRUM WHOLE	TRIFOLIUM PRATENSE
HAMAMELIS RIPARIA WHOLE	RIVINA HUMILIS
RUTA BRACTEOSA WHOLE	COMMELINA BENGHALENSIS
AURANTIUM X CORONATUM WHOLE	KALANCHOE CRENATA
TRIGONELLA CORNICULATA (L.) L.	CALLICARPA AMERICANA
LIGUSTICUM CUMINUM WHOLE	COLLINSIA PARVIFLORA
ALLIUM GASPARRINII WHOLE	VICIA SATIVA
ANNATTO WHOLE	TAMARINDUS INDICA
BAEUMERTA NASTURTIUM WHOLE	ROSA CANINA
CAMMOCK WHOLE	DAPHNE SERICEA
ERYTHRAEA SCHUTTLEWORTHIANA WHOLE	RHEUM PALMATUM
CITRUS X FUNADOKO WHOLE	MACLURA TINCTORIA
PYROLA FRUTESCENS WHOLE	CASTILLEJA MINIATA
YARROW [HOC]	ALCHEMILLA XANTHOCHLORA
JUNIPERUS CANNARTII WHOLE	CAMPSIS RADICANS
AMERINA NIGRA WHOLE	CUPHEA CARTHAGENENSIS
ORANGE WHOLE	STYELA CLAVA
SASSAFRAS ALBIDUM [WHO-DD]	SOLANUM ANGUIVI
CINERARIA FARFARA WHOLE	CURCUMA ZEDOARIA
FICUS AFZELII WHOLE	DROSERA INTERMEDIA
CORYPHA PUMILA WHOLE	CRATAEGUS AZAROLUS
BITTER FENNEL [HOC]	NOTOPTERYGIUM INCISUM
SHEPHERD'S PURSE	ERIOBOTRYA JAPONICA
QUERCUS RECURVISQUAMOSA WHOLE	CINNAMOMUM CAMPHORA
SOLANUM INCONSPICUUM WHOLE	PYROSTEGIA VENUSTA
STINGING NETTLE	JUNIPERUS COMMUNIS
CRUCIFERA RAPHANISTRUM WHOLE	ERIGERON STRIGOSUS
HOUTTUYNIA BOLANDERI WHOLE	PRUNUS PERSICA
SCHIZACHYRIUM PRAEMATURUM WHOLE	DELONIX REGIA
OCIMUM INODORUM WHOLE	LYCIUM BARBARUM
ARDISIA LABORDEI WHOLE	JUGLANS NIGRA
WILD SOYBEAN WHOLE	ANCHUSA OFFICINALIS
LADY'S BEDSTRAW WHOLE	PAPAVER RHOEAS
CAPSELLA ERECTA WHOLE	CITRUS AURANTIUM
SOLANUM CUNEIFOLIUM WHOLE	JUGLANS NIGRA
KUNTH'S MAIDEN FERN WHOLE	ORIGANUM ONITES
COMMELINA BENGHALENSIS	SCHIZACHYRIUM SCOPARIUM
BOLETUS SOLIDUS WHOLE	DACTYLORHIZA INCARNATA
CENTAURIUM UMBELLATUM WHOLE	CYPERUS ROTUNDUS
QUERCUS AMBROZYANA WHOLE	HIBISCUS MOSCHEUTOS
JUSSIAEA NUBICA WHOLE	LINARIA VULGARIS
RUE [HOC]	JUGLANS REGIA
ACER RUBRUM WHOLE	CECROPIA PELTATA
BARTSIA SCABRA WHOLE	MOMORDICA CHARANTIA
LEONURUS RUDERALIS WHOLE	CRATAEGUS MONOGYNA
OLEA SATIVA WHOLE	STILLINGIA SYLVATICA
BETA VULGARIS	JACOBAEA MARITIMA
CEPHALANTHUS HANSENII WHOLE	FRANGULA ALNUS
CELERIA GRAVEOLENS WHOLE	ALLIUM CEPA
SALVIA CONTROVERSA WHOLE	ERYTHRINA ABYSSINICA
QIANG HUO (NOTOPTERYGIUM INCISUM) WHOLE	LONICERA JAPONICA
LYCHNITIS SINUATA WHOLE	ACER PICTUM
ASCLEPIAS LANCIFOLIA WHOLE	BERBERIS VULGARIS
MEADOWSWEET WHOLE	FERULA COMMUNIS
BOSTON FERN WHOLE	RHYNCHOSTYLIS RETUSA
BUPLEURI RADIX WHOLE	GERANIUM WILFORDII
PANICUM INSULARE WHOLE	SALVIA VERBENACA
ATRACTYLIS PINNATIFOLIA WHOLE	MAGNOLIA GRANDIFLORA
ACETOSA DIGYNA WHOLE	FRANGULA ALNUS
SESAMUM RADIATUM WHOLE	DACTYLORHIZA INCARNATA
BURDOCK WHOLE	CYPERUS ROTUNDUS
TYPHA BRACTEATA WHOLE	THONNINGIA SANGUINEA
VERONICELLA CHAMAEDRYS WHOLE	SAMBUCUS NIGRA
MESPILUS ELEGANS WHOLE	ARTEMISIA HERBA-ALBA
CARDIACA VULGARIS WHOLE	SIDA SPINOSA
BATAPRINE UNIFLORA WHOLE	TYPHA LATIFOLIA
PTERIDIUM TAURICUM WHOLE	SALIX TRIANDRA
BERBERIS ARISTATA WHOLE	SALVIA MICROPHYLLA
PALISOTA HIRSUTA WHOLE	TRIPSACUM DACTYLOIDES
TWITCH GRASS WHOLE	CAPPARIS SPINOSA
FERULA ABYSSINICA WHOLE	ECHINACEA
THAPSIA MAROCANA WHOLE	CENTRANTHUS RUBER
FRAXINUS AMERICANA L.	CORYLUS AMERICANA
MANDRAKE WHOLE	ASCLEPIAS CURASSAVICA
AURANTIUM X ORIENTALE WHOLE	SONCHUS OLERACEUS
ULMUS AMBIGUA WHOLE	EMILIA SONCHIFOLIA
ASPARAGUS SETACEUS WHOLE	CROTALARIA PALLIDA
EUCLEA RACEMOSA SUBSP. SCHIMPERI WHOLE	ORIGANUM SYRIACUM
GRUENERA AMYGDALOIDES WHOLE	RUBUS CANADENSIS
PYRUS X NIVALIS WHOLE	ESCHSCHOLZIA CALIFORNICA
ANTHOLYZA SCHLECHTERI WHOLE	MARRUBIUM VULGARE
SCOPOLIA NITIDA WHOLE	LIRIODENDRON TULIPIFERA
PISTIA AMAZONICA WHOLE	SENNA ALEXANDRINA
LUPINUS PERENNIS WHOLE	URTICA DIOICA
BLACK MUSTARD WHOLE	RUBUS FLAGELLARIS
TORMINARIA TORMINALIS WHOLE	SALVIA MILTIORRHIZA
CYANOCOCCUS MYRSINITES WHOLE	CARTHAMUS LANATUS
ARDISIA CRENATA SIMS	DACTYLORHIZA INCARNATA
NYMPHAEA UMBILICALIS WHOLE	HELICHRYSUM ARENARIUM
GALEGA VULGARIS WHOLE	SERENOA REPENS
BLUE TRUMPET VINE WHOLE	PINUS MUGO
GREWIA VILLOSA WILLD.	TILIA AMERICANA
CONNARUS PUNCTULATUS WHOLE	MORINGA
SQUILLA LITTORALIS WHOLE	PRUNUS ARMENIACA
CLARKIA ROMANZOWII WHOLE	LEPIDIUM VIRGINICUM
CESTRACION OCEANICA WHOLE	DIANTHUS CARTHUSIANORUM
CAPSELLA AUTUMNALIS WHOLE	RUBUS RIGIDUS
ASPHODELINE LUTEA WHOLE	GUARANA
BURSA ABSCISSA WHOLE	CINNAMOMUM BURMANNI
SWEET ORANGE WHOLE	URTICA DIOICA
PRUNELLA VULGARIS [WHO-DD]	CAPSELLA BURSA-PASTORIS
ECBALLIUM OFFICINARUM WHOLE	TANACETUM VULGARE
VACCINIUM ALTOMONTANUM WHOLE	RHEXIA VIRGINICA
MESPILUS AZAROLUS WHOLE	SAPONARIA OFFICINALIS
OLIVER'S GENTIAN WHOLE	AGRIMONIA EUPATORIA
FLORIDA MOSS WHOLE	LICORICE
GARDEN FOUR-O'CLOCK WHOLE	CITRUS SINENSIS
SOUTH AMERICAN APRICOT WHOLE	PLECTRANTHUS AMBOINICUS
GALIUM VERUM WHOLE	TILLANDSIA USNEOIDES
CARDAMOMUM CLUSII WHOLE	CROTALARIA PALLIDA
BRASSICA DUBIOSA WHOLE	CIRSIUM ERIOPHORUM
LEONURUS CAMPESTRIS WHOLE	SONCHUS OLERACEUS
CARTHAMUS FEROX WHOLE	APPLE CIDER VINEGAR
ERVUM PILOSISSIMUM WHOLE	ALCHEMILLA XANTHOCHLORA
ACACIA SALIGNA (LABILL.) H.L. WENDL.	CORIANDRUM SATIVUM
ARISTOLOCHIA RUMICIFOLIA WHOLE	XANTHIUM STRUMARIUM
MIRABILIS PUBESCENS WHOLE	ASCLEPIAS PERENNIS
FLEABANE (ERIGERON STRIGOSUS) [HOC]	CENTAURIUM ERYTHRAEA
VICIA FABA L.	DIOSCOREA VILLOSA
RED SOAPWORT WHOLE	ZALUZIANSKYA CAPENSIS
FLAMBOYANT WHOLE	SAUSSUREA INVOLUCRATA
SERENOA REPENS WHOLE	CAPSELLA BURSA-PASTORIS
CAPSELLA LOBULATA WHOLE	TABERNAEMONTANA DIVARICATA
GLAUCIUM FISCHERI WHOLE	APIUM GRAVEOLENS
PYRUS NIVALIS [WHO-DD]	SPHYRNA LEWINI
MORUS CANADENSIS WHOLE	PERSICARIA PUNCTATA
COPTIS CHINENSIS [WHO-DD]	CASTILLEJA MINIATA
ALISMA SAGITTIFOLIUM WHOLE	DIPSACUS FULLONUM
ERIOBOTRYA JAPONICA (THUNB.) LINDL.	QUERCUS STELLATA
ACALYPHA FRUTICOSA FORSSK.	JUNIPERUS VIRGINIANA
CORNUS OFFICINALIS [WHO-DD]	ASHWAGANDA
CITRUS TAROGAYO WHOLE	QUERCUS GAMBELII
SCABIOSA ARVENSIS WHOLE	SENNA OCCIDENTALIS
HOLLYHOCK WHOLE	MIKANIA SCANDENS
CROTALARIA TENUIFOLIA WHOLE	MERTESIA VIRGINICA
YI ZHU QIAN MA	MATRICARIA CHAMOMILLA
CITRUS X AURANTIUM WHOLE	BUPLEURUM CHINENSE
ERVATAMIA DIVARICATA WHOLE	GLADIOLUS DALENII
POLYGONUM PERSICARIOIDES WHOLE	SOLANUM AMERICANUM
LEPTALIX GR WHOLE	PRUNUS CORNUTA
ROSEROOT	ESCHSCHOLZIA CALIFORNICA
SALVIA CLEISTOGAMA WHOLE	DAPHNE SERICEA
HIBISCUS INCANUS WHOLE	TABERNAEMONTANA DIVARICATA
POGOSTEMON BATTAKIANUS WHOLE	SALIX LUCIDA
COMMON COCKLEBUR WHOLE	ANEMOPSIS CALIFORNICA
MORINDA CITRIFOLIA [WHO-DD]	EUGENIA BIFLORA
RICINUS GIBSONII WHOLE	SISYMBRIUM OFFICINALE
GALIUM AUSTRALE WHOLE	NEPHROLEPIS CORDIFOLIA
BIXA ORLEANA WHOLE	SANGUINARIA CANADENSIS
WHITETHORN	GLADIOLUS DALENII
SPERMACOCE VILLOSA WHOLE	QUERCUS MARILANDICA
MICROPORUS NIGRICANS WHOLE	PICEA MARIANA
LYTHRUM CARTHAGENENSE WHOLE	ORIGANUM MAJORANA
MUSTA WHOLE	ALCEA ROSEA
BIDARIA KHANDALENSIS WHOLE	RUBUS PARVIFOLIUS
JALAPA OFFICINARUM WHOLE	ZANTHOXYLUM SIMULANS
POKEBERRY WHOLE	CURCUMA ZEDOARIA
ST.JOHN'S BREAD WHOLE	GENTIANA PNEUMONANTHE
AMERICAN HAZELNUT WHOLE	BLUMEA LACERA
HARPING JOHNNY WHOLE	SCUTELLARIA LATERIFLORA
TERMINALIA HIRTA WHOLE	SALVIA OFFICINALIS
VITIS DENSIFLORA WHOLE	ESCHSCHOLZIA CALIFORNICA
EUROPEAN HAZEL [HOC]	CROTALARIA JUNCEA
CARYA ILLINOINENSIS WHOLE	KNAUTIA ARVENSIS
MORINDA TEYSMANNIANA WHOLE	ILEX OPACA
PYROLA VERTICILLATA WHOLE	SAPONARIA OFFICINALIS
FIVESTAMEN TAMARISK WHOLE	ECBALLIUM ELATERIUM
CLITORIA GEMINA WHOLE	COMMELINA BENGHALENSIS
BURSA SINUOSA WHOLE	AMOMUM AROMATICUM
CENTAURIUM VULGARE WHOLE	GLYCINE MAX
THUJA ASPLENIFOLIA WHOLE	ZALUZIANSKYA CAPENSIS
CRUMINIUM VIRGINIANUM WHOLE	CROSSOPTERYX FEBRIFUGA
KERNERIA BIPINNATA WHOLE	ANETHUM GRAVEOLENS
PINUS PALUSTRIS WHOLE	MENTHA SPICATA
BURSA SUBLAEVIGATA WHOLE	RUMEX CRISPUS
MITRACARPUS STYLOSUS WHOLE	BERBERIS VULGARIS
ULMUS RUBRA MUHL.	CITRUS AURANTIUM
ERICA MULTIFLORA	NYMPHAEA ODORATA
DESERT INDIGOBUSH WHOLE	ORIGANUM MAJORANA
JUNIPERUS GOSSAINTHANEA WHOLE	VERONICA CHAMAEDRYS
DOLICHOS ARISTATUS WHOLE	RHYNCHOSTYLIS RETUSA
DENDRANTHEMA PARTHENIUM WHOLE	ESCHSCHOLZIA CALIFORNICA
SIDA TENUICAULIS WHOLE	NIPHIDIUM CRASSIFOLIUM
SOAPWORT WHOLE	CARTHAMUS LANATUS
PINUS DENTICULATA WHOLE	FRAXINUS AMERICANA
LITTLE IRONWEED WHOLE	GLADIOLUS DALENII
BLACK SAMPSON WHOLE	SESBANIA SESBAN
SALVIA WEIHAIENSIS WHOLE	SILYBUM MARIANUM
SILVER LEAF WHOLE	GLYCINE MAX
MALACHRA URENA WHOLE	SAMBUCUS NIGRA
SAMBUCUS NIGRA	MALVA SYLVESTRIS
ANETHUM RUPESTRE WHOLE	LONICERA JAPONICA
WITCH-HAZEL WHOLE	ORIGANUM MAJORANA
CALYTRIPLEX OBOVATE WHOLE	COMMELINA DIFFUSA
FLEABANE (ERIGERON STRIGOSUS) [HOC]	CARCHARHINUS LEUCAS
CLUSIA FLAVA WHOLE	CELTIS LAEVIGATA
TROPICAL SPIDERWORT WHOLE	SMILAX LAURIFOLIA
CYPERUS RADICOSUS WHOLE	MANDRAGORA OFFICINARUM
PERDICESCA REPENS WHOLE	RAPHANUS RAPHANISTRUM
RABBIT TOBACCO WHOLE	BRASSICA JUNCEA
SCALLOPED HAMMERHEAD SHARK WHOLE	LIMONIUM NARBONENSE
ZAPPANIA CITRODORA WHOLE	ERIOGONUM ALATUM
TRICHERA COMMUNIS WHOLE	ARALIA SPINOSA
CAMPHORA OFFICINALIS WHOLE	STILLINGIA SYLVATICA
SAMBUCUS PYRAMIDATA WHOLE	CINNAMON
CUPHEA PEPLIDIOIDES WHOLE	RICINUS COMMUNIS
TEJABALA WHOLE	GLADIOLUS DALENII
WHEAT	CROTALARIA JUNCEA
THONNINGIA SANGUINEA [HOC]	FOMES FOMENTARIUS
MIRABILIS SUAVEOLENS WHOLE	ANCHUSA OFFICINALIS
SCLAREA VULGARIS WHOLE	PLECTRANTHUS ESCULENTUS
EMILIA SINICA WHOLE	THYMUS VULGARIS
NICOTIANA GLAUCA	GLYCYRRHIZA GLABRA
SUNN HEMP WHOLE	GINKGO BILOBA
LAGOPUS PRATENSIS WHOLE	BOLBOSCHOENUS FLUVIATILIS
PNEUMARIA VIRGINICA WHOLE	VACCINIUM PALLIDUM
THOROWAX WHOLE	BIXA ORELLANA
DIOSCOREA CLIFFORTIANA WHOLE	BLACK CUMIN
URGINEA SPHAEROIDEA WHOLE	TUSSILAGO FARFARA
CYPERUS HEXASTACHYOS WHOLE	BLUMEA LACERA
BLACK WALNUT [HOC]	PLECTRANTHUS ESCULENTUS
ALLIUM BABINGTONII WHOLE	ACANTHUS MOLLIS
JASMINOIDES FLACCIDUM WHOLE	ROBINIA PSEUDOACACIA
SCROPHULARIA UMBROSA	AMARANTHUS SPINOSUS
ACHILLEA MILLEFOLIUM VAR. OCCIDENTALIS WHOLE	DIOSCOREA PRAEHENSILIS
RED SQUILL WHOLE	SIDA SPINOSA
GALEGA OFFICINALIS L.	FRANGULA CAROLINIANA
IPOMOEA WOLCOTTIANA ROSE	PONTEDERIA CORDATA
CLITORIA GRAHAMII WHOLE	SALIX TRIANDRA
CARCHARHINUS ZAMBEZENSIS WHOLE	HELICHRYSUM GYMNOCEPHALUM
ANTHYLLIS RUSTICANA WHOLE	ERUCA VESICARIA
ASCLEPIAS GEMINATA WHOLE	MONESES UNIFLORA
BRASSICA OLERACEA SUBSP. OLERACEA WHOLE	PASPALUM NOTATUM
FABA ANGUSTIFOLIA WHOLE	QUERCUS ILEX
ATRACTYLIS LANCEA WHOLE	LEPIDIUM VIRGINICUM
CASTANEA MARGARETTA WHOLE	ALLIUM CEPA
DIOSCOREA HEXAPHYLLA WHOLE	MAGNOLIA VIRGINIANA
MORINDA ZOLLINGERIANA WHOLE	ARTEMISIA ANNUA
JUNCUS LAEVIS	HORSETAIL
PERSEA DULCIS WHOLE	PINUS SYLVESTRIS
ROSA TIMBALIANA WHOLE	REYNOUTRIA MULTIFLORA
SHEPHERDSPURSE WHOLE	AFROHYBANTHUS ENNEASPERMUS
QUERCUS TRILOBA WHOLE	ALOYSIA TRIPHYLLA
MIKANIA CAUDATA WHOLE	CINNAMOMUM BURMANNI
VITIS APIANA WHOLE	ACACIA DEALBATA
TYPHA SALGIRICA WHOLE	CUMINUM CYMINUM
BLADHIA ELEGANS WHOLE	NYMPHAEA ODORATA
KNAUTIA CAMPESTRIS WHOLE	PHYTOLACCA AMERICANA
ALLIUM SATIVUM	CALLUNA VULGARIS
NOYER NOIR WHOLE	LEONURUS CARDIACA
GALIUM PENNSYLVANICUM WHOLE	FRANGULA ALNUS
EUPHORBIA OFFICINARUM WHOLE	FUMARIA OFFICINALIS
PARAISO WHOLE	SASSAFRAS ALBIDUM
ACTAEA MONOGYNA WHOLE	PERSICARIA MACULOSA
SALVIA WHOLE	SENNA OCCIDENTALIS
TAMARIND WHOLE	ILEX VOMITORIA
PEACH WHOLE	COMBRETUM MOLLE
BERBERIS ARBORESCENS WHOLE	SALVIA ROSMARINUS
DYCTISPERMA RIGIDUS WHOLE	ERECHTITES HIERACIFOLIUS
PAVIA LIVIDA WHOLE	CECROPIA PELTATA
WESTERN RED CEDAR WHOLE	PALISOTA HIRSUTA
CHAMAEMELUM CHAMOMILLA WHOLE	PLANTAGO MAJOR
FRINGED RUE WHOLE	EQUISETUM HYEMALE
CHELIDONIUM MAJUS	PRUNUS SEROTINA
LAURUS SALSAFRAZ WHOLE	MIRABILIS JALAPA
CURCUMA VIRIDIFLORA WHOLE	ALLIUM CEPA
VICIA GLOBOSA WHOLE	SCUTELLARIA LATERIFLORA
CLINACANTHUS NUTANS WHOLE PLANT [WHO DD]	ULMUS MINOR
ANTELAEA AZADIRACHTA (L.) ADELB.	RUBUS ALLEGHENIENSIS
VIRGINIA-CREEPER WHOLE	SENNA ITALICA
GUARANA (PAULLINIA CUPANA) [HOC]	DIGITALIS FERRUGINEA
TYPHA MAXIMA WHOLE	QUERCUS FALCATA
CICER LENS WHOLE	HANDROANTHUS HEPTAPHYLLUS
IPOMOEA DUMOSA WHOLE	SENNA
EASTERN GAMAGRASS WHOLE	CODONOPSIS PILOSULA
ALLIUM HOLMENSE WHOLE	ERECHTITES HIERACIFOLIUS
CRUCIANELLA PURPUREA WHOLE	SYMPHYTUM OFFICINALE
ARUNDO DONAX L.	ARALIA SPINOSA
LEPIDIUM MATRITENSE WHOLE	PSEUDOGNAPHALIUM STRAMINEUM
SINAPIS JUNCEA WHOLE	TORMINALIS GLABERRIMA
CYPERUS TETRASTACHYOS WHOLE	SALVIA ROSMARINUS
COCKLEBUR WHOLE	GALIUM TRIFLORUM
