FAERS_drug_match,lookup_value
SHOSEIRYUTO [ASARUM SPP. ROOT;CINNAMOMUM CASSIA BARK;EPHEDRA SPP. HERB,Cinnamomum verum
"CHROMIUM, CINNAMOMUM VERUM",Cinnamomum verum
CHROMIUM/CINNAMOMUM VERUM/ZINC,Cinnamomum verum
CHROMIUM W/CINNAMOMUM VERUM/ZINC,Cinnamomum verum
CINNAMOMUM VERUM,Cinnamomum verum
CINNAMOMUM VERUM BARK,Cinnamomum verum
CINNAMOMUM VERUM (CINNAMOMUM VERUM),Cinnamomum verum
CINNAMOMUM VERUM OIL,Cinnamomum verum
CINNAMON /01647501/ (CINNAMOMUM VERUM),Cinnamomum verum
CINNAMON CAPSULE (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamomum verum
CINNAMON ( CINNAMOMUM VERUM),Cinnamomum verum
CINNAMON (CINNAMOMUM VERUM),Cinnamomum verum
CINNAMON(CINNAMOMUM VERUM),Cinnamomum verum
"CINNAMON (CINNAMOMUM VERUM) TABLET, 500 MG",Cinnamomum verum
CINNAMON (CINNAMOMUM VERUM) (UNKNOWN),Cinnamomum verum
CINNAMON (CINNAMOMUM VERUM)(UNKNOWN),Cinnamomum verum
CINNAMON (CINNAMOMUN VERUM) (CINNAMOMUM VERUM),Cinnamomum verum
CINNAMON PILLS (CINNAMOMUM VERUM),Cinnamomum verum
CINNAMON WITH CHROMIUM (CINNAMOMUM VERUM),Cinnamomum verum
CNNAMON (CINNAMOMUM VERUM) (CINNAMOMUM VERUM),Cinnamomum verum
MENTHOL/THYMOL/SYZYGIUM AROMATICUM OIL/CINNAMOMUM VERUM BARK OIL/EUCALYPTUS GLOBULUS OIL/FOENICULUM,Cinnamomum verum
"S.M. (CALCIUM CARBONATE, CINNAMOMUM VERUM POWDER, COPTIS TRIFOLIA, DIA",Cinnamomum verum
ALPHA LIPSIS SOID.CINNAMON,Cinnamomum verum
ATRACTYLODES LANCEA RHIZOME/ALISMA RHIZOME/POLYPORUS SCLEROTIUM/PORIA SCLEROTIUM/CINNAMON BARK,Cinnamomum verum
BERBERTINE + CINNAMON BARK,Cinnamomum verum
"CABAGIN (CINNAMON, POWDERED, DIASTASE, LIQURICE, MENTHOL, NISIN, SCOPO",Cinnamomum verum
CHINESE LICORICE (+) CHINESE PEONY (+) CINNAMON (+) EPHEDRA (+) GINGER,Cinnamomum verum
CHROMIUM;CINNAMON,Cinnamomum verum
CHROMIUM/CINNAMON,Cinnamomum verum
CINNAMON                           /01647501/,Cinnamomum verum
CINNAMON /01647501/,Cinnamomum verum
CINNAMON                           /01647506/,Cinnamomum verum
CINNAMON                           /05656701/,Cinnamomum verum
CINNAMON                           /05656704/,Cinnamomum verum
CINNAMON 1000 MG WITH CHROMIUM,Cinnamomum verum
CINNAMON 1000/PLUS CHROMIUM,Cinnamomum verum
CINNAMON 500 MG PLUS CHROMIUM METABOLISM SUPPORT,Cinnamomum verum
CINNAMON AND CHROMIUM,Cinnamomum verum
CINNAMON AND GREEN TEA,Cinnamomum verum
CINNAMON AND HONEY,Cinnamomum verum
CINNAMON BARK EXTRACT,Cinnamomum verum
CINNAMON BARK W/CHROMIMUN,Cinnamomum verum
CINNAMON/CHRM,Cinnamomum verum
CINNAMON+CHROM,Cinnamomum verum
CINNAMON/CHROME,Cinnamomum verum
CINNAMON CHROMIUM,Cinnamomum verum
CINNAMON + CHROMIUM,Cinnamomum verum
CINNAMON/CHROMIUM,Cinnamomum verum
CINNAMON/CHRONDROITIN,Cinnamomum verum
CINNAMON (CINAMOMUM VERUM),Cinnamomum verum
CINNAMON (CINNAMOMUN VERUM),Cinnamomum verum
CINNAMON (CINNAMOM VERUM),Cinnamomum verum
CINNAMON (CINNAMON VERUM),Cinnamomum verum
CINNAMON (CINNAMOUM VERUM) (CAPSULES),Cinnamomum verum
CINNAMON CITRACAL + D CLOTRIMAZOLE,Cinnamomum verum
CINNAMON (CNINAMOMUM VERUM),Cinnamomum verum
CINNAMON COMPLEX,Cinnamomum verum
CINNAMON CR,Cinnamomum verum
CINNAMON EXTRACT,Cinnamomum verum
CINNAMON EXTRACT [CINNAMOMUM BURMANNI],Cinnamomum verum
CINNAMON EXTRACT TABLETS,Cinnamomum verum
CINNAMON GARLIC,Cinnamomum verum
CINNAMON PLUS CHROMIUM,Cinnamomum verum
CINNAMON PLUS CHROMIUM METABOLISM SUPPORT,Cinnamomum verum
CINNAMON RED HOTS,Cinnamomum verum
CINNAMON TEA,Cinnamomum verum
CINNAMON VERUM,Cinnamomum verum
CINNAMON W/CHROMIUM,Cinnamomum verum
CINNAMON W/ CHROMIUM,Cinnamomum verum
CINNAMON WITH CHROMIUM,Cinnamomum verum
CINNAMON WITH HONEY AND TEA COMBINATION,Cinnamomum verum
CINNULIN PF (WATER CINNAMON EXTRACT),Cinnamomum verum
"CINSULILN (CINNAMON, VITAMIN D3, 500IU)",Cinnamomum verum
CINSULIN (CINNAMON AND CHROMIUM PICOLINATE),Cinnamomum verum
CO-Q 10 W/CINNAMON,Cinnamomum verum
COQ10 WITH CINNAMON,Cinnamomum verum
"^GOOD HERBS ORIGINAL^ TEA - ROOBOIS, ROSEHIPS, CHAMOMILE, CINNAMON, LE",Cinnamomum verum
HERBAL SUPPLEMENT WITH CINNAMON,Cinnamomum verum
HONEY + CINNAMON,Cinnamomum verum
INNAMON (CINNAMON VERUM) CAPSULE,Cinnamomum verum
"KAIGEN (CAFFEINE, CINNAMON, GLYCYRRHIZA EXTRACT, METHYLEPHEDRINE HYDRO",Cinnamomum verum
LOOSE LEAF TEA (YERBA MATE) W/DANDELION ROOT+TUMERIC+CINNAMON+OREGAN+THYME,Cinnamomum verum
MISTURA CARMINATIVA (CARAWAY (+) CARDAMOM SEED (+) CINNAMON (+) GLYCER,Cinnamomum verum
PURITAN'S PRIDE CINNAMON WITH HIGH POTENCY CHROMIUM COMPLEX,Cinnamomum verum
VITAMIN C-CINNAMON,Cinnamomum verum
VITAMIN E CINNAMON,Cinnamomum verum
WALGREENS BRAND CINNAMON CAPSULES,Cinnamomum verum
FENUGREEK,Trigonelfa foenum
FENUGREEK                          /01475701/,Trigonelfa foenum
FENUGREEK AND THYME,Trigonelfa foenum
FENUGREEK BLOOD SUGAR HEALTH,Trigonelfa foenum
FENUGREEK CAPSULE,Trigonelfa foenum
FENUGREEK + CHROME,Trigonelfa foenum
FENUGREEK (HERB),Trigonelfa foenum
FENUGREEK HERBAL SUPPLEMENT,Trigonelfa foenum
FENUGREEK POWDER,Trigonelfa foenum
FENUGREEK SUPPLEMENT,Trigonelfa foenum
FENUGREEK/THYME,Trigonelfa foenum
FENUGREEK (TRIGONELLA FOENUM GRAECUM),Trigonelfa foenum
FENUGREEK (TRIGONELLA FOENUM-GRAECUM),Trigonelfa foenum
FENUGREEK [TRIGONELLA FOENUM-GRAECUM],Trigonelfa foenum
FENUGREEK [TRIGONELLA FOENUM?GRAECUM],Trigonelfa foenum
FENUGREEK [TRIGONELLA FOENUM-GRAECUM SEED],Trigonelfa foenum
FENUGREEK [TRIGONELLA FOENUM?GRAECUM SEED],Trigonelfa foenum
NATURE'S OWN GARLIC AND C HORSERADISH WITH FENUGREEK AND MARSHMALLOW,Trigonelfa foenum
ORCHARD AND GARDEN BLEND FENUGREEK,Trigonelfa foenum
PENUGREEK (FENUGREEK),Trigonelfa foenum
UNSPECIFIED FENUGREEK,Trigonelfa foenum
FEVERFEW,Tanacetum parthenium
FEVERFEW                           /01723001/,Tanacetum parthenium
FEVERFEW (HERBAL EXTRACTS NOS),Tanacetum parthenium
FEVERFEW (TANACETUM PARTHENIUM),Tanacetum parthenium
FEVERFEW [TANACETUM PARTHENIUM],Tanacetum parthenium
FEVERFEW [TANACETUM PARTHENIUM LEAF],Tanacetum parthenium
FEVERFEW TEA,Tanacetum parthenium
FEVERFEW WITH BUTTERBUR,Tanacetum parthenium
MIGLIEF (MAGNESIUM AND FEVERFEW),Tanacetum parthenium
"MIGRE-LIEF (FEVERFEW, MAGNESIUM, RIBOFLAVIN)",Tanacetum parthenium
TANACETUM PARTHENIUM,Tanacetum parthenium
1000 MG. FLAXSEED OIL,Linum usitatissimum
B12 BY B1 ZINC MAGNESIUM FLAXSEED OIL,Linum usitatissimum
BARLEAN'S FLAX OIL VEGAN OMEGA-3 FORMULA,Linum usitatissimum
BARLEAN'S FRESH FLAX OIL,Linum usitatissimum
BLACK COHOSH-FLAXSEED SOY,Linum usitatissimum
BLACK COHOSH-FLAXSEED-SOY,Linum usitatissimum
BORAGE FLAX,Linum usitatissimum
BORAGE OIL AND FLAXSEED AND OMEGA-3 MARINE TRIGLYCERIDES AND SAFFLOWER,Linum usitatissimum
BORAGE OIL (+) FLAXSEED (+) OMEGA,Linum usitatissimum
BORAGE OIL (+) FLAXSEED (+) OMEGA-3 MARI,Linum usitatissimum
CALCIUM COLACE FLAX SEED FLUNISOLIDE SPR IPRATROIUM SPR,Linum usitatissimum
CBD FLAXSEES COMBO,Linum usitatissimum
CQ10+ FLAX SEED,Linum usitatissimum
CRUSHED FLAX SEED,Linum usitatissimum
CVS FLAXSEED OIL,Linum usitatissimum
DHA?EPA?FLAXSEED OIL?VITAMIN E,Linum usitatissimum
EFA - FLAXSEED,Linum usitatissimum
EQL FLAXSEED OIL,Linum usitatissimum
ESTER-C FLAX OIL-FISH OIL-BORAGE OIL,Linum usitatissimum
EXTRA-STRENGTH FLAX SEED,Linum usitatissimum
FISH AND FLAX OILS,Linum usitatissimum
FISH AND FLAXSEED OIL,Linum usitatissimum
"FISH FLAX AND MOROCCAN OIL WITH OMEGA 3,6,9 HEART HEALTH SOFT GEL",Linum usitatissimum
FISH/FLAX/BORAG,Linum usitatissimum
FISH FLAX + BORAGE OIL,Linum usitatissimum
FISH/FLAX BORAGE OIL,Linum usitatissimum
FISHFLAX-BORAGE OIL,Linum usitatissimum
FISH/FLAX/BORAGE OIL MIXTURE,Linum usitatissimum
FISH + FLAX OIL,Linum usitatissimum
FISH/FLAX OIL,Linum usitatissimum
"FISH FLAXSEED SAFFLOWER AND OLIVE OILS OMEGA 6, 3 AND 9",Linum usitatissimum
FISH OIL/ FLAX/ BORAX OIL,Linum usitatissimum
FISH OIL/ FLAX OIL,Linum usitatissimum
FISH OIL/FLAX OIL,Linum usitatissimum
FISH OIL/FLAXSEED OIL COMBINATION,Linum usitatissimum
FLAX,Linum usitatissimum
FLAX AND BORAGE OIL W.OMEGA,Linum usitatissimum
FLAX AND FIBER,Linum usitatissimum
FLAXA SEEDS,Linum usitatissimum
FLAX + BORAGE OIL,Linum usitatissimum
FLAX/BORAGE OIL,Linum usitatissimum
FLAX CAPSULES,Linum usitatissimum
FLAX COMPLETE,Linum usitatissimum
FLAXEED,Linum usitatissimum
FLAX EED OIL,Linum usitatissimum
FLAXEED OIL,Linum usitatissimum
FLAX FIBER,Linum usitatissimum
FLAX/FISH OIL,Linum usitatissimum
FLAX/FISH OIL/BORIC SUPPLEMENT,Linum usitatissimum
FLAX/FISH OIL SUPPLEMENT,Linum usitatissimum
FLAX FISH ORANGE OIL,Linum usitatissimum
FLAX (FLAX SEED OIL),Linum usitatissimum
FLAX GROUND OIL,Linum usitatissimum
FLAX MEAL,Linum usitatissimum
FLAX OIL,Linum usitatissimum
FLAX-OIL,Linum usitatissimum
FLAX OIL                           /01649403/,Linum usitatissimum
FLAX OIL /01649403/,Linum usitatissimum
FLAX OIL 1000 MG,Linum usitatissimum
FLAX OIL CAPS,Linum usitatissimum
FLAX OIL CAPSULES,Linum usitatissimum
FLAX OIL/FISH OIL,Linum usitatissimum
FLAX OIL [LINOLEIC ACID;LINUM USITATISSIMUM OIL;OLEIC ACID],Linum usitatissimum
FLAX OIL (LINSEED OIL0,Linum usitatissimum
FLAX OIL [LINUM USITATISSIMUM OIL],Linum usitatissimum
FLAX OIL                     (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAX OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAX OIL [LINUM USITATISSIMUM SEED OIL],Linum usitatissimum
FLAX OIL (OMEGA 3),Linum usitatissimum
FLAX OIL (ORGANIC),Linum usitatissimum
FLAX OILS CAPSULE,Linum usitatissimum
FLAX OIL SEED,Linum usitatissimum
FLAX ORAL OIL,Linum usitatissimum
FLAX PILL,Linum usitatissimum
FLAXSED OIL,Linum usitatissimum
FLAXSEED,Linum usitatissimum
^FLAX SEED^,Linum usitatissimum
FLAX  SEED,Linum usitatissimum
FLAXSEED 1000 MG CAPSULE,Linum usitatissimum
FLAX SEED 3000,Linum usitatissimum
FLAX SEED CAP,Linum usitatissimum
FLAXSEED CAP,Linum usitatissimum
FLAX SEED CAP 1000MG,Linum usitatissimum
FLAX SEED CAPSULE,Linum usitatissimum
FLAXSEED CAPSULE,Linum usitatissimum
FLAX SEED CAPSULES,Linum usitatissimum
FLAXSEED CAPSULES,Linum usitatissimum
FLAXSEED (FLAXSEED),Linum usitatissimum
FLAX SEED (FLAX SEED) (FLAX SEED),Linum usitatissimum
FLAX SEED FLOUR,Linum usitatissimum
FLAX SEED GEL CAP,Linum usitatissimum
FLAXSEED GRANULES,Linum usitatissimum
FLAXSEED GROUND,Linum usitatissimum
FLAX SEED GROUNDED UP,Linum usitatissimum
FLAX SEED GROUND UP ON OATMEAL,Linum usitatissimum
FLAX SEED/HERBAL NOS/PSYLLIUM,Linum usitatissimum
FLAXSEED (LINIUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED (LINSEED),Linum usitatissimum
"FLAXSEED, LINSEED",Linum usitatissimum
FLAXSEED(LINSEED),Linum usitatissimum
"FLAXSEED, LINSEED (GROUND FLAX SEEDS)",Linum usitatissimum
FLAX SEED (LINSEED OIL) (CAPSULES),Linum usitatissimum
FLAXSEED (LINSEED OIL) (CAPSULES),Linum usitatissimum
FLAXSEED (LINSEED OIL) (UNKNOWN),Linum usitatissimum
FLAXSEED (LINUM USIATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED (LINUM USITATISSIMUM),Linum usitatissimum
FLAXSEED (LINUM USITATISSIMUM SEED),Linum usitatissimum
FLAXSEED (LINUM USITATISSIMUM SEED) (LINUM USITATISSIMUM SEED),Linum usitatissimum
FLAX SEED (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAX SEED (LINUM USITATISSIMUM SEED OIL) (UNKNOWN)?,Linum usitatissimum
FLAX SEED MEAL,Linum usitatissimum
FLAXSEED MEAL,Linum usitatissimum
FLAX SEED (NON-ABBOTT),Linum usitatissimum
FLAX SEED (NON-ABBVIE),Linum usitatissimum
FLAX SEED OI,Linum usitatissimum
FLAX SEED OID,Linum usitatissimum
FLAX-SEED OIL,Linum usitatissimum
"FLAXSEED OIL,",Linum usitatissimum
FLAXSEED OIL,Linum usitatissimum
FLAXSEED OIL                       /01649403/,Linum usitatissimum
FLAXSEED OIL /01649403/,Linum usitatissimum
FLAXSEED OIL                       /01649404/,Linum usitatissimum
FLAX SEED OIL 1000 MG,Linum usitatissimum
FLAXSEED OIL 1000MG,Linum usitatissimum
FLAXSEED OIL 1000 MG,Linum usitatissimum
"FLAX SEED OIL, 1000MG, ORAL",Linum usitatissimum
FLAXSEED OIL 100MG,Linum usitatissimum
FLAX SEED OIL 1300MG,Linum usitatissimum
FLAX SEED OIL 1300 MG B.I.D,Linum usitatissimum
"FLAXSEED OIL 1300 MG, ORAL",Linum usitatissimum
FLAX SEED OIL AND MEAL,Linum usitatissimum
FLAXSEED OIL AND OMEGA 3-FATTY ACID,Linum usitatissimum
FLAXSEED OIL AND POWDER,Linum usitatissimum
FLAX SEED OIL CAP,Linum usitatissimum
FLAX SEED OIL CAPS,Linum usitatissimum
FLAXSEED OIL CAPS,Linum usitatissimum
FLAX SEED OIL CAPSULE,Linum usitatissimum
FLAXSEED OIL CAPSULE,Linum usitatissimum
FLAX SEED OIL CAPSULES,Linum usitatissimum
FLAXSEED OIL CAPSULES,Linum usitatissimum
FLAXSEED OIL (CAPSULES),Linum usitatissimum
FLAXSEED OIL CAPSULES(L000 MG),Linum usitatissimum
FLAXSEED OIL COMPRESSED,Linum usitatissimum
FLAX SEED OIL DRY EYES,Linum usitatissimum
FLAX SEED OIL EYE LUBRICATION,Linum usitatissimum
FLAXSEED OIL (FLAXSEED OIL),Linum usitatissimum
FLAXSEED OIL (FLAXSEED OIL) (FLAXSEED OIL),Linum usitatissimum
FLAX SEED OIL GEL CAPS,Linum usitatissimum
FLAXSEED OIL (LINSEED),Linum usitatissimum
FLAXSEED OIL )(LINSEED OIL),Linum usitatissimum
"FLAXSEED OIL(LINSEED OIL)(1000 MILLIGRAM, CAPSULES)",Linum usitatissimum
FLAXSEED OIL (LINSEED OIL) (CAPSULES),Linum usitatissimum
FLAXSEED OIL (LINSEED OIL) (TABLETS),Linum usitatissimum
FLAXSEED OIL (LINSEED OIL) (UNKNOWN),Linum usitatissimum
FLAXSEED OIL(LINSEED OIL)(UNKNOWN),Linum usitatissimum
FLAXSEED OIL (LINUM UNSITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMDM SEED OIL),Linum usitatissimum
FLAXSEED OIL [LINUM USITATISSIMUM OIL],Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED),Linum usitatissimum
FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL      (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM  SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL,Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL(LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL) CAPSULE,Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OILD),Linum usitatissimum
FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL) (LINUM USITATISSIMUM SEED,Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL)  (LINUM USITATISSIMUM SEED,Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL) (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL) (LINUMUSITATISSIMUM SEED OIL),Linum usitatissimum
FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL) (UNKNOWN),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSINUM SEED OIL),Linum usitatissimum
FLAX SEED OIL (LINUM USITATISSIUM SEED OIL),Linum usitatissimum
FLAX SEED OIL (LINUM USITATISSIUMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL (LINUM USITATISSIUMUM SEED OIL),Linum usitatissimum
FLAXSEED OIL MAX,Linum usitatissimum
FLAXSEED OIL MAX STR,Linum usitatissimum
FLAXSEED OIL NATURE MADE,Linum usitatissimum
FLAX SEED OIL/OMEGA 3,Linum usitatissimum
FLAXSEED OIL OMEGA 3,Linum usitatissimum
FLAXSEED OIL-OMEGA 3 OIL,Linum usitatissimum
FLAX SEED OIL (OTHER THERAPEUTIC PRODUCTS),Linum usitatissimum
FLAXSEED OIL PILL,Linum usitatissimum
FLAX SEED OIL PILLS,Linum usitatissimum
FLAX SEED OILS,Linum usitatissimum
FLAXSEED OILS,Linum usitatissimum
FLAX SEED OIL SUPPLEMENT,Linum usitatissimum
FLAXSEED OIL SUPPLEMENT,Linum usitatissimum
FLAX SEED OIL TABS,Linum usitatissimum
FLAXSEED OIL (UNKNOWN UNTIL CONTINUING),Linum usitatissimum
FLAXSEED OIL WITH OMEGA 3,Linum usitatissimum
FLAX SEED OIL WITH VITAMIN E,Linum usitatissimum
FLAX SEED OIT,Linum usitatissimum
FLAXSEED OLL,Linum usitatissimum
"FLAXSEED/ OMEGA 3,6,9",Linum usitatissimum
FLAX SEED-OMEGA WITH KRILL OIL,Linum usitatissimum
FLAX SEED OR GEL CAPS,Linum usitatissimum
FLAXSEED (OTHER ALIMENTARY TRACT AND METABOLISM PROD),Linum usitatissimum
FLAX SEED PILL,Linum usitatissimum
FLAXSEED PILL,Linum usitatissimum
FLAX SEED PILLS,Linum usitatissimum
FLAXSEED PILLS,Linum usitatissimum
FLAX SEED PLUS FISH OIL,Linum usitatissimum
FLAX SEED POWDER,Linum usitatissimum
FLAXSEED POWDER,Linum usitatissimum
FLAX SEED PRIMROSE OIL,Linum usitatissimum
FLAXSEED PRIMROSE OIL,Linum usitatissimum
FLAXSEED-PRIMROSE OIL,Linum usitatissimum
"FLAXSEED PRIMROSE OIL (GAMOLENIC ACID, LINOLEIC ACID, LINOLENIC ACID) CAPSULE",Linum usitatissimum
FLAXSEEDS,Linum usitatissimum
FLAX SEEDS,Linum usitatissimum
FLAX SEED SOIL,Linum usitatissimum
FLAXSEEDS OIL,Linum usitatissimum
FLAXSEEDS + OIL,Linum usitatissimum
FLAX SEEDS POWD,Linum usitatissimum
FLAX SEEDS TABLETS,Linum usitatissimum
FLAXSEED SUPPLEMENT (LINUM USITATISSIMUM SEED OIL) (LINUM USITATISSIMU,Linum usitatissimum
FLAXSEED TABLET,Linum usitatissimum
FLAXSEED WITH OMEGA 3 BLEND,Linum usitatissimum
FLAX SEEED OIL,Linum usitatissimum
FLAX SEEL OIL,Linum usitatissimum
FLAX SEEN,Linum usitatissimum
FLAX SEEN OIL,Linum usitatissimum
FLAX SEE OIL,Linum usitatissimum
FLAXSEE OIL,Linum usitatissimum
FLAXSEE OIL (LENSEED OIL) (UNKNOWN),Linum usitatissimum
FLAX SEE OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAXSEE OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
FLAX SEE OIL (LINUM USITATISSIMUM SEED OIL) (CAPSULES),Linum usitatissimum
FLAXSEE OIL TABLETS,Linum usitatissimum
FLAX SEE POWDER AND OIL,Linum usitatissimum
FLAX SSED OIL,Linum usitatissimum
FLAXSSED OIL,Linum usitatissimum
FLAX TABLET,Linum usitatissimum
FLAX XEED OIL,Linum usitatissimum
"GLUCOSAMINE CHONDROITIN FLAX SEED OIL (GLUCOSAMINE, CHONDROITIN SULFATE)",Linum usitatissimum
GNP FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
GROUND FLAX,Linum usitatissimum
GROUND FLAX (HERBAL EXTRACT NOS),Linum usitatissimum
GROUND FLAXSEED,Linum usitatissimum
GROUND FLAX SEED,Linum usitatissimum
GROUND-FLAX SEED DIET CHANGE WITH WHOLE WHEAT FOR HIGH FIBER,Linum usitatissimum
HERBAL SUPPLEMENT OF FLAX OIL,Linum usitatissimum
HIGH LIGNAN FLAXSEED,Linum usitatissimum
HIGH OMEGA FLAXSEED,Linum usitatissimum
"LINSEED OIL (FLAXSEED OIL, CAPSULE, SOFT GELATIN)",Linum usitatissimum
LINUM USITATISSIMUM       (FLAX SEED),Linum usitatissimum
MAGNESIUM FLAXSEED,Linum usitatissimum
MILLED FLAX SEED,Linum usitatissimum
NATURAL ALTERNA. FLAXSEED OIL PLUS LECITHIN,Linum usitatissimum
NATURE MADE FLAXSEED,Linum usitatissimum
NATUREMADE FLAXSEED OIL,Linum usitatissimum
NATURES BOUNTY FISH FLAX AND BORAGE,Linum usitatissimum
NOPALINA FLAX SEED PLUS,Linum usitatissimum
NOVALIN ORGANIC FLAXSEED OIL,Linum usitatissimum
"OMEGA 3-6-9 FISH, FLAX + BORAGE OIL",Linum usitatissimum
OMEGA 3-6-9 WITH FLAXSEED AND FISH OIL,Linum usitatissimum
OMEGA 3 AND FLAX SEED OIL (TABLETS),Linum usitatissimum
OMEGA 3 FISH-FLAX,Linum usitatissimum
OMEGA 3-FISH-FLAX-BORA,Linum usitatissimum
OMEGA 3 FISH OIL/FLAXSEED,Linum usitatissimum
OMEGA 3 FLAX OIL,Linum usitatissimum
OMEGA 3 FLAXSEED,Linum usitatissimum
OMEGA 3/FLAXSEED,Linum usitatissimum
OMEGA 3 FLAXSEED CAPSULES,Linum usitatissimum
OMEGA 3 FLAX SEED OIL,Linum usitatissimum
OMEGA 3 FLAXSEED OIL,Linum usitatissimum
OMEGA-3 FLAXSEEDS,Linum usitatissimum
OMEGA 3 WITH FLAXSEED,Linum usitatissimum
OMEGA 3 WITH FLAXSEED OIL,Linum usitatissimum
OMEGA 4 WITH FLAXSEED AND FISH OIL,Linum usitatissimum
OMEGA FISH + FLAX,Linum usitatissimum
OMEGA (FLAX),Linum usitatissimum
OMEGA THREE FLAX SEED,Linum usitatissimum
ORGANIC FLAXSEED OIL,Linum usitatissimum
ORGANIC FLAX SEED WITH HIGH LIGNAME OIL,Linum usitatissimum
ORIGIN FLAX OIL,Linum usitatissimum
OTC FLAXSEED,Linum usitatissimum
"PROSTAID PLUS (FLAX, SAW PALMETTO, ST. JOHN'S WORT, ELDER, CALENDULA",Linum usitatissimum
PURITANS PRIDE FLAX SEED OIL,Linum usitatissimum
PURITANS PRIDE FLAXSEED OIL,Linum usitatissimum
SALMON + FLAX OIL,Linum usitatissimum
SEED FLAXSEED,Linum usitatissimum
SM FLAX OIL,Linum usitatissimum
SPRING VALLEY FLAX OIL,Linum usitatissimum
VITAMIN E/FLAXSEED OIL (OMEGA-3 FLAXSEED OIL),Linum usitatissimum
WALGREENS FINEST NATURAL FLAX SEED OIL WITH OMEGA 3,Linum usitatissimum
LINSEED                            /01649402/,Linum usitatissimum
LINSEED /01649402/,Linum usitatissimum
LINSEED (LINUM USITATISSIMUM SEED),Linum usitatissimum
LINSEED OIL (LINUM USITATISSIMUM SEED OIL),Linum usitatissimum
LINUM/LINSEED OIL,Linum usitatissimum
"ONMEVEL (CONTAINING DICLOFENAC, MENTHYL SALICYLATE, MENTHOL, LINSEED OIL)",Linum usitatissimum
"CIRUELAX (CITRIC ACID, HONEY, LINUM USITATISSIMUM, PRUNUS DOMESTICA, SENNA ALEXANDRIA, SUCROSE, TRITICUM AESTIVUM)",Linum usitatissimum
"CIRUELAX (CITRIC ACID, HONEY, LINUM USITATISSIMUM, PRUNUS DOMESTICA, SENNA ALEXANDRINA, SUCROSE, TRITICUM AESTIVUM)",Linum usitatissimum
COQ10 [CONJUGATED LINOLEIC ACID;LINUM USITATISSIMUM SEED OIL;UBIDECARE,Linum usitatissimum
FISH OIL W/LINUM USITATISSIMUM SEED OIL,Linum usitatissimum
"FISH OIL W/LINUM USITATISSIMUM SEED SOIL (FISH OIL, LINUM USITATISSIMU",Linum usitatissimum
LINOMED (SENNA ALEXANDRIA/LINUM USITATISSIMUM SEED/RHAMNUS FRANGULA BA,Linum usitatissimum
LINUM USITATISSIMUM,Linum usitatissimum
LINUM USITATISSIMUM (LINUM USITATISSIMUM),Linum usitatissimum
LINUM USITATISSIMUM OIL,Linum usitatissimum
LINUM USITATISSIMUM SEED,Linum usitatissimum
LINUM USITATISSIMUM SEED (LINUM USITATISSIMUM SEED),Linum usitatissimum
LINUM USITATISSIMUM SEED OIL,Linum usitatissimum
OMEGA 3 6 9 [BORAGO OFFICINALIS OIL;LINUM USITATISSIMUM SEED OIL;OENOT,Linum usitatissimum
OMEGA 3-6-9 COMPLEX (LINUM USITATISSIMUM OIL),Linum usitatissimum
OMEGA 3 6 9 [FISH OIL;LINUM USITATISSIMUM SEED OIL;OENOTHERA BIENNIS O,Linum usitatissimum
